[2024-03-22 13:28:19] [world] The Player <I_am_amazing> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -595, Y= 9, Z= 586
[2024-03-22 13:28:21] [world] The Player <I_am_amazing> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -595, Y= 10, Z= 585
[2024-03-22 13:28:23] [world] The Player <I_am_amazing> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -595, Y= 10, Z= 585
[2024-03-22 13:28:27] [world] The Player <Tester> has extracted 34 of IRON_INGOT from a Furnace that's located at X= -558, Y= 89, Z= 268
[2024-03-22 13:28:28] [world] The Player <Tester> has extracted 11 of GOLD_INGOT from a Furnace that's located at X= -558, Y= 90, Z= 268
[2024-03-22 13:28:36] [world] The Player <I_am_amazing> has extracted 10 of GOLD_INGOT from a Furnace that's located at X= -595, Y= 12, Z= 588
[2024-03-22 13:28:58] [world] The Player <I_am_amazing> has extracted 2 of GOLD_INGOT from a Furnace that's located at X= -595, Y= 12, Z= 588
[2024-03-22 13:29:06] [world] The Player <I_am_amazing> has extracted 4 of IRON_INGOT from a Furnace that's located at X= -595, Y= 10, Z= 585
[2024-03-22 13:29:07] [world] The Player <I_am_amazing> has extracted 4 of IRON_INGOT from a Furnace that's located at X= -595, Y= 9, Z= 586
[2024-03-22 13:29:07] [world] The Player <I_am_amazing> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -595, Y= 9, Z= 586
[2024-03-22 13:29:16] [world] The Player <I_am_amazing> has extracted 2 of GOLD_INGOT from a Furnace that's located at X= -595, Y= 12, Z= 588
[2024-03-22 13:30:29] [world] The Player <I_am_amazing> has extracted 7 of GOLD_INGOT from a Furnace that's located at X= -595, Y= 12, Z= 588
[2024-03-22 13:30:36] [world] The Player <I_am_amazing> has extracted 1 of GOLD_INGOT from a Furnace that's located at X= -595, Y= 12, Z= 588
[2024-03-22 13:31:06] [world] The Player <I_am_amazing> has extracted 3 of GOLD_INGOT from a Furnace that's located at X= -595, Y= 12, Z= 588
[2024-03-22 13:31:44] [world] The Player <I_am_amazing> has extracted 4 of GOLD_INGOT from a Furnace that's located at X= -595, Y= 12, Z= 588
[2024-03-22 13:32:25] [world] The Player <I_am_amazing> has extracted 3 of GRILLED_PORK from a Furnace that's located at X= -595, Y= 12, Z= 588
[2024-03-22 13:32:33] [world] The Player <I_am_amazing> has extracted 21 of IRON_INGOT from a Furnace that's located at X= -595, Y= 10, Z= 585
[2024-03-22 13:32:37] [world] The Player <I_am_amazing> has extracted 21 of IRON_INGOT from a Furnace that's located at X= -595, Y= 9, Z= 586
[2024-03-22 13:39:05] [world] The Player <I_am_amazing> has extracted 6 of GRILLED_PORK from a Furnace that's located at X= -595, Y= 12, Z= 588
[2024-03-22 13:39:31] [world] The Player <I_am_amazing> has extracted 7 of IRON_INGOT from a Furnace that's located at X= -595, Y= 9, Z= 586
[2024-03-22 13:39:33] [world] The Player <I_am_amazing> has extracted 8 of IRON_INGOT from a Furnace that's located at X= -595, Y= 10, Z= 585
[2024-03-22 13:39:36] [world] The Player <I_am_amazing> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -595, Y= 9, Z= 586
[2024-03-22 13:40:53] [world] The Player <I_am_amazing> has extracted 7 of IRON_INGOT from a Furnace that's located at X= -595, Y= 9, Z= 586
[2024-03-22 13:42:00] [world] The Player <I_am_amazing> has extracted 1 of REDSTONE from a Furnace that's located at X= -595, Y= 9, Z= 586
[2024-03-22 14:19:41] [world] The Player <digbick> has extracted 6 of GOLD_INGOT from a Furnace that's located at X= -688, Y= 71, Z= 316
[2024-03-22 14:27:34] [world] The Player <proman50> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -431, Y= 67, Z= -189
[2024-03-22 14:27:44] [world] The Player <proman50> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -431, Y= 67, Z= -189
[2024-03-22 14:27:55] [world] The Player <proman50> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -431, Y= 67, Z= -189
[2024-03-22 14:28:19] [world] The Player <proman50> has extracted 2 of IRON_INGOT from a Furnace that's located at X= -431, Y= 67, Z= -189
[2024-03-22 14:28:27] [world] The Player <proman50> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -431, Y= 67, Z= -189
[2024-03-22 14:28:43] [world] The Player <proman50> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -431, Y= 67, Z= -189
[2024-03-22 14:28:45] [world] The Player <proman50> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -431, Y= 67, Z= -189
[2024-03-22 14:28:54] [world] The Player <proman50> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -431, Y= 67, Z= -189
[2024-03-22 14:41:21] [world] The Player <PenguinBoi> has extracted 8 of GRILLED_PORK from a Furnace that's located at X= -603, Y= 11, Z= -226
[2024-03-22 14:41:23] [world] The Player <PenguinBoi> has extracted 7 of IRON_INGOT from a Furnace that's located at X= -603, Y= 12, Z= -226
[2024-03-22 15:05:19] [world] The Player <digbick> has extracted 6 of GOLD_INGOT from a Furnace that's located at X= -688, Y= 71, Z= 316
[2024-03-22 15:07:41] [world] The Player <digbick> has extracted 14 of GOLD_INGOT from a Furnace that's located at X= -688, Y= 71, Z= 316
[2024-03-22 15:11:13] [world] The Player <digbick> has extracted 20 of IRON_INGOT from a Furnace that's located at X= -687, Y= 71, Z= 316
[2024-03-22 15:21:31] [world] The Player <digbick> has extracted 14 of GOLD_INGOT from a Furnace that's located at X= -688, Y= 71, Z= 316
[2024-03-22 15:39:21] [world] The Player <character> has extracted 19 of IRON_INGOT from a Furnace that's located at X= -377, Y= 88, Z= -60
[2024-03-22 15:39:26] [world] The Player <character> has extracted 19 of IRON_INGOT from a Furnace that's located at X= -377, Y= 88, Z= -61
[2024-03-22 15:39:30] [world] The Player <character> has extracted 20 of IRON_INGOT from a Furnace that's located at X= -377, Y= 88, Z= -62
[2024-03-22 15:41:01] [world] The Player <digbick> has extracted 5 of IRON_INGOT from a Furnace that's located at X= -687, Y= 71, Z= 316
[2024-03-22 15:47:32] [world] The Player <Mudkips_Rule> has extracted 64 of GLASS from a Furnace that's located at X= -1154, Y= 66, Z= -434
[2024-03-22 15:47:34] [world] The Player <Mudkips_Rule> has extracted 62 of GLASS from a Furnace that's located at X= -1151, Y= 66, Z= -434
[2024-03-22 15:52:16] [world] The Player <digbick> has extracted 10 of IRON_INGOT from a Furnace that's located at X= -687, Y= 71, Z= 316
[2024-03-22 16:20:42] [world] The Player <astronomy> has extracted 3 of IRON_INGOT from a Furnace that's located at X= 1798, Y= 39, Z= 289
[2024-03-22 16:21:59] [world] The Player <SPADE> has extracted 61 of STONE from a Furnace that's located at X= -666, Y= 97, Z= -783
[2024-03-22 16:25:18] [world] The Player <Pog4lifepeople> has extracted 34 of IRON_INGOT from a Furnace that's located at X= 1000567, Y= 66, Z= 1000292
[2024-03-22 16:25:19] [world] The Player <Pog4lifepeople> has extracted 30 of GOLD_INGOT from a Furnace that's located at X= 1000567, Y= 67, Z= 1000292
[2024-03-22 16:39:31] [world] The Player <SPADE> has extracted 26 of STONE from a Furnace that's located at X= -666, Y= 98, Z= -783
[2024-03-22 16:40:19] [world] The Player <SPADE> has extracted 4 of IRON_INGOT from a Furnace that's located at X= -666, Y= 98, Z= -783
[2024-03-22 16:41:05] [world] The Player <SPADE> has extracted 4 of IRON_INGOT from a Furnace that's located at X= -666, Y= 98, Z= -783
[2024-03-22 17:53:29] [world] The Player <A_Random_Person> has extracted 35 of IRON_INGOT from a Furnace that's located at X= -549, Y= 88, Z= 243
[2024-03-22 17:53:31] [world] The Player <A_Random_Person> has extracted 13 of IRON_INGOT from a Furnace that's located at X= -548, Y= 88, Z= 243
[2024-03-22 17:58:10] [world] The Player <I_am_amazing> has extracted 9 of IRON_INGOT from a Furnace that's located at X= -40, Y= 6, Z= -82
[2024-03-22 17:58:11] [world] The Player <I_am_amazing> has extracted 13 of IRON_INGOT from a Furnace that's located at X= -40, Y= 8, Z= -81
[2024-03-22 17:58:12] [world] The Player <I_am_amazing> has extracted 12 of IRON_INGOT from a Furnace that's located at X= -40, Y= 7, Z= -81
[2024-03-22 17:58:13] [world] The Player <I_am_amazing> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -40, Y= 7, Z= -81
[2024-03-22 17:58:14] [world] The Player <I_am_amazing> has extracted 14 of IRON_INGOT from a Furnace that's located at X= -41, Y= 8, Z= -82
[2024-03-22 17:58:16] [world] The Player <I_am_amazing> has extracted 15 of IRON_INGOT from a Furnace that's located at X= -39, Y= 8, Z= -85
[2024-03-22 17:59:14] [world] The Player <I_am_amazing> has extracted 6 of IRON_INGOT from a Furnace that's located at X= -40, Y= 8, Z= -81
[2024-03-22 17:59:15] [world] The Player <I_am_amazing> has extracted 6 of IRON_INGOT from a Furnace that's located at X= -40, Y= 7, Z= -81
[2024-03-22 17:59:16] [world] The Player <I_am_amazing> has extracted 6 of IRON_INGOT from a Furnace that's located at X= -41, Y= 8, Z= -82
[2024-03-22 17:59:18] [world] The Player <I_am_amazing> has extracted 6 of IRON_INGOT from a Furnace that's located at X= -40, Y= 6, Z= -82
[2024-03-22 17:59:20] [world] The Player <I_am_amazing> has extracted 6 of IRON_INGOT from a Furnace that's located at X= -39, Y= 8, Z= -85
[2024-03-22 17:59:31] [world] The Player <I_am_amazing> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -40, Y= 8, Z= -81
[2024-03-22 18:00:27] [world] The Player <I_am_amazing> has extracted 5 of GOLD_INGOT from a Furnace that's located at X= -40, Y= 8, Z= -81
[2024-03-22 18:00:28] [world] The Player <I_am_amazing> has extracted 7 of IRON_INGOT from a Furnace that's located at X= -41, Y= 8, Z= -82
[2024-03-22 18:00:29] [world] The Player <I_am_amazing> has extracted 7 of IRON_INGOT from a Furnace that's located at X= -40, Y= 7, Z= -81
[2024-03-22 18:00:30] [world] The Player <I_am_amazing> has extracted 8 of IRON_INGOT from a Furnace that's located at X= -40, Y= 6, Z= -82
[2024-03-22 18:00:32] [world] The Player <I_am_amazing> has extracted 7 of IRON_INGOT from a Furnace that's located at X= -39, Y= 8, Z= -85
[2024-03-22 18:00:33] [world] The Player <I_am_amazing> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -39, Y= 8, Z= -85
[2024-03-22 18:01:01] [world] The Player <I_am_amazing> has extracted 4 of GOLD_INGOT from a Furnace that's located at X= -40, Y= 8, Z= -81
[2024-03-22 18:01:02] [world] The Player <I_am_amazing> has extracted 4 of IRON_INGOT from a Furnace that's located at X= -41, Y= 8, Z= -82
[2024-03-22 18:01:04] [world] The Player <I_am_amazing> has extracted 4 of IRON_INGOT from a Furnace that's located at X= -40, Y= 7, Z= -81
[2024-03-22 18:01:05] [world] The Player <I_am_amazing> has extracted 3 of IRON_INGOT from a Furnace that's located at X= -40, Y= 6, Z= -82
[2024-03-22 18:01:10] [world] The Player <I_am_amazing> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -41, Y= 8, Z= -82
[2024-03-22 18:01:12] [world] The Player <I_am_amazing> has extracted 1 of GOLD_INGOT from a Furnace that's located at X= -40, Y= 8, Z= -81
[2024-03-22 18:01:14] [world] The Player <I_am_amazing> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -40, Y= 6, Z= -82
[2024-03-22 18:01:16] [world] The Player <I_am_amazing> has extracted 3 of IRON_INGOT from a Furnace that's located at X= -39, Y= 8, Z= -85
[2024-03-22 18:02:21] [world] The Player <I_am_amazing> has extracted 7 of IRON_INGOT from a Furnace that's located at X= -40, Y= 6, Z= -82
[2024-03-22 18:02:23] [world] The Player <I_am_amazing> has extracted 7 of IRON_INGOT from a Furnace that's located at X= -41, Y= 8, Z= -82
