[2024-03-21 11:59:43] [world] The Player <qwerty> has extracted 3 of COOKED_BEEF from a Furnace that's located at X= -666, Y= 98, Z= -783
[2024-03-21 12:07:58] [world] The Player <dick_slap> has extracted 4 of IRON_INGOT from a Furnace that's located at X= -766, Y= 64, Z= 257
[2024-03-21 12:07:59] [world] The Player <dick_slap> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -766, Y= 64, Z= 257
[2024-03-21 12:08:10] [world] The Player <dick_slap> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -766, Y= 64, Z= 257
[2024-03-21 12:08:20] [world] The Player <dick_slap> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -766, Y= 64, Z= 257
[2024-03-21 12:08:55] [world] The Player <dick_slap> has extracted 2 of COOKED_BEEF from a Furnace that's located at X= -766, Y= 64, Z= 257
[2024-03-21 12:08:57] [world] The Player <dick_slap> has extracted 1 of COOKED_BEEF from a Furnace that's located at X= -766, Y= 64, Z= 257
[2024-03-21 12:09:27] [world] The Player <dick_slap> has extracted 2 of GRILLED_PORK from a Furnace that's located at X= -766, Y= 64, Z= 257
[2024-03-21 12:19:12] [world] The Player <Bobuz> has extracted 2 of GRILLED_PORK from a Furnace that's located at X= -413, Y= 69, Z= -189
[2024-03-21 12:20:18] [world] The Player <Bobuz> has extracted 1 of COOKED_CHICKEN from a Furnace that's located at X= -413, Y= 69, Z= -189
[2024-03-21 12:20:37] [world] The Player <dick_slap> has extracted 2 of STONE from a Furnace that's located at X= -766, Y= 64, Z= 257
[2024-03-21 12:20:38] [world] The Player <dick_slap> has extracted 1 of STONE from a Furnace that's located at X= -766, Y= 64, Z= 257
[2024-03-21 12:22:47] [world] The Player <ACE> has extracted 12 of STONE from a Furnace that's located at X= -766, Y= 64, Z= 257
[2024-03-21 12:27:32] [world] The Player <dick_slap> has extracted 1 of COAL from a Furnace that's located at X= -766, Y= 64, Z= 256
[2024-03-21 12:28:23] [world] The Player <dick_slap> has extracted 4 of COAL from a Furnace that's located at X= -766, Y= 64, Z= 256
[2024-03-21 12:28:34] [world] The Player <dick_slap> has extracted 1 of COOKED_CHICKEN from a Furnace that's located at X= -766, Y= 64, Z= 256
[2024-03-21 12:29:11] [world] The Player <dick_slap> has extracted 3 of COAL from a Furnace that's located at X= -766, Y= 64, Z= 256
[2024-03-21 12:32:36] [world] The Player <dick_slap> has extracted 14 of COAL from a Furnace that's located at X= -766, Y= 64, Z= 262
[2024-03-21 12:33:01] [world] The Player <ACE> has extracted 41 of STONE from a Furnace that's located at X= -766, Y= 64, Z= 257
[2024-03-21 12:34:11] [world] The Player <dick_slap> has extracted 5 of COAL from a Furnace that's located at X= -766, Y= 64, Z= 262
[2024-03-21 12:34:42] [world] The Player <dick_slap> has extracted 3 of COAL from a Furnace that's located at X= -766, Y= 64, Z= 262
[2024-03-21 12:34:46] [world] The Player <dick_slap> has extracted 1 of COAL from a Furnace that's located at X= -766, Y= 64, Z= 262
[2024-03-21 12:34:48] [world] The Player <dick_slap> has extracted 4 of COAL from a Furnace that's located at X= -766, Y= 64, Z= 261
[2024-03-21 12:35:08] [world] The Player <dick_slap> has extracted 2 of COAL from a Furnace that's located at X= -766, Y= 64, Z= 262
[2024-03-21 12:35:11] [world] The Player <dick_slap> has extracted 2 of COAL from a Furnace that's located at X= -766, Y= 64, Z= 261
[2024-03-21 12:35:52] [world] The Player <General_Rihan> has extracted 22 of STONE from a Furnace that's located at X= -10167, Y= 64, Z= 4118
[2024-03-21 12:35:54] [world] The Player <dick_slap> has extracted 4 of COAL from a Furnace that's located at X= -766, Y= 64, Z= 261
