[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 64, Y= 50, Z= -91
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 85, Y= 49, Z= -88
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 86, Y= 60, Z= -84
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 63, Y= 51, Z= -104
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 86, Y= 42, Z= -78
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 93, Y= 42, Z= -99
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 78, Y= 47, Z= -102
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 78, Y= 51, Z= -116
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 88, Y= 58, Z= -80
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 90, Y= 40, Z= -89
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 94, Y= 51, Z= -85
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 96, Y= 39, Z= -113
