[2024-03-25 00:41:26] [world_nether] The Player <Brycethelegend> has crafted 1 of GLOWSTONE at X= -236, Y= 52, Z= 5
[2024-03-25 00:41:26] [world_nether] The Player <Brycethelegend> has crafted 1 of GLOWSTONE at X= -236, Y= 52, Z= 5
[2024-03-25 00:41:26] [world_nether] The Player <Brycethelegend> has crafted 1 of GLOWSTONE at X= -236, Y= 52, Z= 5
[2024-03-25 00:41:26] [world_nether] The Player <Brycethelegend> has crafted 1 of GLOWSTONE at X= -236, Y= 52, Z= 5
[2024-03-25 00:41:26] [world_nether] The Player <Brycethelegend> has crafted 1 of GLOWSTONE at X= -236, Y= 52, Z= 5
[2024-03-25 00:41:26] [world_nether] The Player <Brycethelegend> has crafted 1 of GLOWSTONE at X= -236, Y= 52, Z= 5
[2024-03-25 00:41:27] [world_nether] The Player <Brycethelegend> has crafted 1 of GLOWSTONE at X= -236, Y= 52, Z= 5
[2024-03-25 00:41:27] [world_nether] The Player <Brycethelegend> has crafted 1 of GLOWSTONE at X= -236, Y= 52, Z= 5
[2024-03-25 00:41:27] [world_nether] The Player <Brycethelegend> has crafted 1 of GLOWSTONE at X= -236, Y= 52, Z= 5
[2024-03-25 00:41:27] [world_nether] The Player <Brycethelegend> has crafted 1 of GLOWSTONE at X= -236, Y= 52, Z= 5
[2024-03-25 00:41:47] [world_nether] The Player <Brycethelegend> has crafted 1 of QUARTZ BLOCK at X= -247, Y= 54, Z= -4
[2024-03-25 00:41:47] [world_nether] The Player <Brycethelegend> has crafted 1 of QUARTZ BLOCK at X= -247, Y= 54, Z= -4
[2024-03-25 00:41:48] [world_nether] The Player <Brycethelegend> has crafted 1 of QUARTZ BLOCK at X= -247, Y= 54, Z= -4
[2024-03-25 00:41:48] [world_nether] The Player <Brycethelegend> has crafted 1 of QUARTZ BLOCK at X= -247, Y= 54, Z= -4
[2024-03-25 00:41:48] [world_nether] The Player <Brycethelegend> has crafted 1 of QUARTZ BLOCK at X= -247, Y= 54, Z= -4
[2024-03-25 00:41:48] [world_nether] The Player <Brycethelegend> has crafted 1 of QUARTZ BLOCK at X= -247, Y= 54, Z= -4
[2024-03-25 00:41:48] [world_nether] The Player <Brycethelegend> has crafted 1 of QUARTZ BLOCK at X= -247, Y= 54, Z= -4
[2024-03-25 00:41:49] [world_nether] The Player <Brycethelegend> has crafted 1 of QUARTZ BLOCK at X= -247, Y= 54, Z= -4
[2024-03-25 00:41:49] [world_nether] The Player <Brycethelegend> has crafted 1 of QUARTZ BLOCK at X= -247, Y= 54, Z= -4
[2024-03-25 00:41:49] [world_nether] The Player <Brycethelegend> has crafted 1 of QUARTZ BLOCK at X= -247, Y= 54, Z= -4
[2024-03-25 00:41:49] [world_nether] The Player <Brycethelegend> has crafted 1 of QUARTZ BLOCK at X= -247, Y= 54, Z= -4
[2024-03-25 00:41:49] [world_nether] The Player <Brycethelegend> has crafted 1 of QUARTZ BLOCK at X= -247, Y= 54, Z= -4
[2024-03-25 00:41:49] [world_nether] The Player <Brycethelegend> has crafted 1 of QUARTZ BLOCK at X= -247, Y= 54, Z= -4
[2024-03-25 00:41:50] [world_nether] The Player <Brycethelegend> has crafted 1 of QUARTZ BLOCK at X= -247, Y= 54, Z= -4
[2024-03-25 00:41:50] [world_nether] The Player <Brycethelegend> has crafted 1 of QUARTZ BLOCK at X= -247, Y= 54, Z= -4
[2024-03-25 00:41:50] [world_nether] The Player <Brycethelegend> has crafted 1 of QUARTZ BLOCK at X= -247, Y= 54, Z= -4
[2024-03-25 00:42:07] [world_nether] The Player <Brycethelegend> has crafted 1 of QUARTZ BLOCK at X= -248, Y= 53, Z= -4
[2024-03-25 00:43:15] [world] The Player <Brycethelegend> has crafted 4 of STICK at X= -1356, Y= 63, Z= -265
[2024-03-25 00:43:53] [world] The Player <Brycethelegend> has crafted 1 of BREWING STAND ITEM at X= -1354, Y= 60, Z= -267
[2024-03-25 00:44:37] [world] The Player <Brycethelegend> has crafted 1 of NETHER BRICK at X= -1356, Y= 63, Z= -263
[2024-03-25 00:44:37] [world] The Player <Brycethelegend> has crafted 1 of NETHER BRICK at X= -1356, Y= 63, Z= -263
[2024-03-25 00:44:38] [world] The Player <Brycethelegend> has crafted 1 of NETHER BRICK at X= -1356, Y= 63, Z= -263
[2024-03-25 00:44:38] [world] The Player <Brycethelegend> has crafted 1 of NETHER BRICK at X= -1356, Y= 63, Z= -263
[2024-03-25 00:44:38] [world] The Player <Brycethelegend> has crafted 1 of NETHER BRICK at X= -1356, Y= 63, Z= -263
[2024-03-25 00:44:38] [world] The Player <Brycethelegend> has crafted 1 of NETHER BRICK at X= -1356, Y= 63, Z= -263
[2024-03-25 00:44:38] [world] The Player <Brycethelegend> has crafted 1 of NETHER BRICK at X= -1356, Y= 63, Z= -263
[2024-03-25 00:44:38] [world] The Player <Brycethelegend> has crafted 1 of NETHER BRICK at X= -1356, Y= 63, Z= -263
[2024-03-25 00:44:39] [world] The Player <Brycethelegend> has crafted 1 of NETHER BRICK at X= -1356, Y= 63, Z= -263
[2024-03-25 00:44:39] [world] The Player <Brycethelegend> has crafted 1 of NETHER BRICK at X= -1356, Y= 63, Z= -263
[2024-03-25 00:46:49] [world] The Player <Brycethelegend> has crafted 1 of NETHER BRICK at X= -1356, Y= 63, Z= -265
[2024-03-25 00:46:50] [world] The Player <Brycethelegend> has crafted 1 of NETHER BRICK at X= -1356, Y= 63, Z= -265
[2024-03-25 00:46:50] [world] The Player <Brycethelegend> has crafted 1 of NETHER BRICK at X= -1356, Y= 63, Z= -265
[2024-03-25 00:46:50] [world] The Player <Brycethelegend> has crafted 1 of NETHER BRICK at X= -1356, Y= 63, Z= -265
[2024-03-25 00:46:50] [world] The Player <Brycethelegend> has crafted 1 of NETHER BRICK at X= -1356, Y= 63, Z= -265
[2024-03-25 00:46:51] [world] The Player <Brycethelegend> has crafted 1 of NETHER BRICK at X= -1356, Y= 63, Z= -265
[2024-03-25 00:46:51] [world] The Player <Brycethelegend> has crafted 1 of NETHER BRICK at X= -1356, Y= 63, Z= -265
[2024-03-25 00:47:27] [world] The Player <Brycethelegend> has crafted 1 of SPECKLED MELON at X= -1356, Y= 63, Z= -265
[2024-03-25 00:50:55] [world] The Player <Brycethelegend> has crafted 3 of GLASS BOTTLE at X= -1356, Y= 63, Z= -267
[2024-03-25 00:50:55] [world] The Player <Brycethelegend> has crafted 3 of GLASS BOTTLE at X= -1356, Y= 63, Z= -267
[2024-03-25 00:50:56] [world] The Player <Brycethelegend> has crafted 3 of GLASS BOTTLE at X= -1356, Y= 63, Z= -267
[2024-03-25 01:07:16] [world] The Player <Brycethelegend> has crafted 9 of IRON INGOT at X= -1355, Y= 62, Z= -264
[2024-03-25 01:07:17] [world] The Player <Brycethelegend> has crafted 9 of IRON INGOT at X= -1355, Y= 62, Z= -264
[2024-03-25 01:59:49] [world_the_end] The Player <Heinrich_Himmler> has crafted 6 of STEP at X= -14, Y= 62, Z= -66
[2024-03-25 01:59:53] [world_the_end] The Player <Heinrich_Himmler> has crafted 6 of STEP at X= -14, Y= 62, Z= -66
[2024-03-25 03:14:54] [world] The Player <GolemDaWanderer> has crafted 1 of LEVER at X= -10168, Y= 63, Z= 4115
[2024-03-25 13:39:21] [world] The Player <NezukoChan> has crafted 9 of WHEAT at X= -10191, Y= 64, Z= 4161
[2024-03-25 16:49:44] [world] The Player <xcpc> has crafted 4 of WOOD at X= -689, Y= 71, Z= 340
[2024-03-25 16:55:21] [world] The Player <xcpc> has crafted 4 of STICK at X= -778, Y= 62, Z= 282
[2024-03-25 16:55:26] [world] The Player <xcpc> has crafted 4 of TORCH at X= -778, Y= 62, Z= 282
[2024-03-25 19:21:52] [world] The Player <GolemDaWanderer> has crafted 3 of PAPER at X= -10175, Y= 64, Z= 4117
[2024-03-25 19:34:11] [world] The Player <GolemDaWanderer> has crafted 1 of BREAD at X= -10170, Y= 64, Z= 4117
[2024-03-25 19:34:14] [world] The Player <GolemDaWanderer> has crafted 1 of BREAD at X= -10170, Y= 64, Z= 4117
[2024-03-25 19:34:17] [world] The Player <GolemDaWanderer> has crafted 1 of BREAD at X= -10170, Y= 64, Z= 4117
