[2024-03-28 17:56:50] [world] The Player <xcpc> has crafted 4 of SMOOTH BRICK at X= -309, Y= 70, Z= 275
[2024-03-28 17:58:15] [world] The Player <xcpc> has crafted 4 of SMOOTH BRICK at X= -308, Y= 70, Z= 275
[2024-03-28 17:58:54] [world] The Player <xcpc> has crafted 4 of STICK at X= -308, Y= 70, Z= 275
[2024-03-28 17:58:58] [world] The Player <xcpc> has crafted 1 of IRON PICKAXE at X= -308, Y= 70, Z= 275
[2024-03-28 17:59:21] [world] The Player <xcpc> has crafted 4 of SMOOTH BRICK at X= -308, Y= 70, Z= 275
[2024-03-28 18:00:27] [world] The Player <xcpc> has crafted 4 of SMOOTH BRICK at X= -308, Y= 70, Z= 275
[2024-03-28 18:00:48] [world] The Player <xcpc> has crafted 4 of SMOOTH BRICK at X= -308, Y= 70, Z= 275
[2024-03-28 18:03:11] [world] The Player <xcpc> has crafted 4 of SMOOTH BRICK at X= -308, Y= 70, Z= 275
[2024-03-28 18:04:19] [world] The Player <xcpc> has crafted 4 of SMOOTH BRICK at X= -308, Y= 70, Z= 274
[2024-03-28 18:15:35] [world] The Player <xcpc> has crafted 4 of STICK at X= -308, Y= 70, Z= 274
[2024-03-28 18:15:39] [world] The Player <xcpc> has crafted 3 of SIGN at X= -308, Y= 70, Z= 274
[2024-03-28 18:19:03] [world] The Player <xcpc> has crafted 1 of BUCKET at X= -294, Y= 13, Z= 209
[2024-03-28 18:26:26] [world] The Player <xcpc> has crafted 1 of WORKBENCH at X= -273, Y= 44, Z= 244
[2024-03-28 18:26:33] [world] The Player <xcpc> has crafted 1 of IRON SPADE at X= -273, Y= 44, Z= 244
[2024-03-28 18:30:40] [world] The Player <xcpc> has crafted 1 of CHEST at X= -308, Y= 70, Z= 276
[2024-03-28 18:31:13] [world] The Player <xcpc> has crafted 2 of TRIPWIRE HOOK at X= -308, Y= 70, Z= 274
[2024-03-28 18:31:27] [world] The Player <xcpc> has crafted 4 of WOOD at X= -308, Y= 70, Z= 274
[2024-03-28 18:31:31] [world] The Player <xcpc> has crafted 1 of CHEST at X= -308, Y= 70, Z= 274
[2024-03-28 18:31:40] [world] The Player <xcpc> has crafted 1 of TRAPPED CHEST at X= -308, Y= 70, Z= 275
[2024-03-28 18:32:26] [world] The Player <xcpc> has crafted 4 of SMOOTH BRICK at X= -308, Y= 70, Z= 276
[2024-03-28 18:36:24] [world] The Player <xcpc> has crafted 1 of BUCKET at X= -308, Y= 70, Z= 275
[2024-03-28 18:41:57] [world] The Player <xcpc> has crafted 1 of IRON BLOCK at X= -308, Y= 70, Z= 275
[2024-03-28 18:41:59] [world] The Player <xcpc> has crafted 9 of IRON INGOT at X= -308, Y= 70, Z= 275
[2024-03-28 18:42:03] [world] The Player <xcpc> has crafted 1 of IRON BLOCK at X= -308, Y= 70, Z= 275
[2024-03-28 18:42:10] [world] The Player <xcpc> has crafted 1 of IRON BLOCK at X= -307, Y= 70, Z= 275
[2024-03-28 18:42:23] [world] The Player <xcpc> has crafted 1 of REDSTONE BLOCK at X= -307, Y= 70, Z= 274
[2024-03-28 18:42:26] [world] The Player <xcpc> has crafted 9 of REDSTONE at X= -307, Y= 70, Z= 274
[2024-03-28 18:42:43] [world] The Player <xcpc> has crafted 1 of REDSTONE BLOCK at X= -307, Y= 70, Z= 274
[2024-03-28 18:47:34] [world] The Player <xcpc> has crafted 4 of WOOD at X= -308, Y= 70, Z= 274
[2024-03-28 18:47:37] [world] The Player <xcpc> has crafted 4 of STICK at X= -308, Y= 70, Z= 274
[2024-03-28 18:47:39] [world] The Player <xcpc> has crafted 4 of STICK at X= -308, Y= 70, Z= 274
[2024-03-28 18:48:13] [world] The Player <xcpc> has crafted 3 of FENCE at X= -308, Y= 70, Z= 274
[2024-03-28 18:48:20] [world] The Player <xcpc> has crafted 3 of FENCE at X= -308, Y= 70, Z= 274
[2024-03-28 18:49:43] [world] The Player <xcpc> has crafted 4 of STICK at X= -309, Y= 70, Z= 275
[2024-03-28 18:49:47] [world] The Player <xcpc> has crafted 3 of FENCE at X= -309, Y= 70, Z= 275
[2024-03-28 18:52:02] [world] The Player <xcpc> has crafted 3 of CARPET at X= -308, Y= 70, Z= 275
[2024-03-28 18:52:04] [world] The Player <xcpc> has crafted 3 of CARPET at X= -308, Y= 70, Z= 275
[2024-03-28 18:52:06] [world] The Player <xcpc> has crafted 3 of CARPET at X= -308, Y= 70, Z= 275
[2024-03-28 18:52:10] [world] The Player <xcpc> has crafted 1 of BED at X= -308, Y= 70, Z= 275
[2024-03-28 18:53:04] [world] The Player <xcpc> has crafted 1 of WOOL at X= -308, Y= 70, Z= 275
