[2024-03-19 12:46:47] [world] The Player <digbick> has crafted 1 of FURNACE at X= -689, Y= 75, Z= 304
[2024-03-19 12:46:48] [world] The Player <Dave_TheCoolGuy> has crafted 4 of STICK at X= -688, Y= 75, Z= 305
[2024-03-19 12:46:48] [world] The Player <Dave_TheCoolGuy> has crafted 4 of STICK at X= -688, Y= 75, Z= 305
[2024-03-19 12:46:48] [world] The Player <Dave_TheCoolGuy> has crafted 4 of STICK at X= -688, Y= 75, Z= 305
[2024-03-19 12:46:49] [world] The Player <Dave_TheCoolGuy> has crafted 4 of STICK at X= -688, Y= 75, Z= 305
[2024-03-19 12:46:49] [world] The Player <Dave_TheCoolGuy> has crafted 4 of STICK at X= -688, Y= 75, Z= 305
[2024-03-19 12:49:52] [world] The Player <dhar> has crafted 4 of WOOD at X= -669, Y= 72, Z= 285
[2024-03-19 12:50:05] [world] The Player <Get_dick_slapped> has crafted 4 of WOOD at X= -712, Y= 53, Z= 90
[2024-03-19 12:50:06] [world] The Player <dhar> has crafted 4 of STICK at X= -669, Y= 72, Z= 285
[2024-03-19 12:50:06] [world] The Player <dhar> has crafted 4 of STICK at X= -669, Y= 72, Z= 285
[2024-03-19 12:50:06] [world] The Player <dhar> has crafted 4 of STICK at X= -669, Y= 72, Z= 285
[2024-03-19 12:50:17] [world] The Player <Get_dick_slapped> has crafted 1 of WORKBENCH at X= -712, Y= 53, Z= 90
[2024-03-19 12:50:26] [world] The Player <dhar> has crafted 1 of STONE PICKAXE at X= -669, Y= 72, Z= 285
[2024-03-19 12:50:27] [world] The Player <Get_dick_slapped> has crafted 4 of WOOD at X= -712, Y= 53, Z= 90
[2024-03-19 12:50:27] [world] The Player <Get_dick_slapped> has crafted 4 of WOOD at X= -712, Y= 53, Z= 90
[2024-03-19 12:50:28] [world] The Player <Get_dick_slapped> has crafted 4 of WOOD at X= -712, Y= 53, Z= 90
[2024-03-19 12:50:28] [world] The Player <Get_dick_slapped> has crafted 4 of WOOD at X= -712, Y= 53, Z= 90
[2024-03-19 12:50:28] [world] The Player <Get_dick_slapped> has crafted 4 of WOOD at X= -712, Y= 53, Z= 90
[2024-03-19 12:50:28] [world] The Player <Get_dick_slapped> has crafted 4 of WOOD at X= -712, Y= 53, Z= 90
[2024-03-19 12:50:45] [world] The Player <Dave_TheCoolGuy> has crafted 1 of DIAMOND SWORD at X= -688, Y= 75, Z= 304
[2024-03-19 12:52:11] [world] The Player <Dave_TheCoolGuy> has crafted 4 of WOOD at X= -688, Y= 75, Z= 304
[2024-03-19 12:52:11] [world] The Player <Dave_TheCoolGuy> has crafted 4 of WOOD at X= -688, Y= 75, Z= 304
[2024-03-19 12:52:12] [world] The Player <Dave_TheCoolGuy> has crafted 4 of WOOD at X= -688, Y= 75, Z= 304
[2024-03-19 12:52:12] [world] The Player <Dave_TheCoolGuy> has crafted 4 of WOOD at X= -688, Y= 75, Z= 304
[2024-03-19 12:52:12] [world] The Player <Dave_TheCoolGuy> has crafted 4 of WOOD at X= -688, Y= 75, Z= 304
[2024-03-19 12:52:12] [world] The Player <Dave_TheCoolGuy> has crafted 4 of WOOD at X= -688, Y= 75, Z= 304
[2024-03-19 12:52:12] [world] The Player <Dave_TheCoolGuy> has crafted 4 of WOOD at X= -688, Y= 75, Z= 304
[2024-03-19 12:52:12] [world] The Player <Dave_TheCoolGuy> has crafted 4 of WOOD at X= -688, Y= 75, Z= 304
[2024-03-19 12:52:13] [world] The Player <Dave_TheCoolGuy> has crafted 4 of WOOD at X= -688, Y= 75, Z= 304
[2024-03-19 12:52:13] [world] The Player <Dave_TheCoolGuy> has crafted 4 of WOOD at X= -688, Y= 75, Z= 304
[2024-03-19 12:52:13] [world] The Player <Dave_TheCoolGuy> has crafted 4 of WOOD at X= -688, Y= 75, Z= 304
[2024-03-19 12:52:13] [world] The Player <Dave_TheCoolGuy> has crafted 4 of WOOD at X= -688, Y= 75, Z= 304
[2024-03-19 12:52:13] [world] The Player <Dave_TheCoolGuy> has crafted 4 of WOOD at X= -688, Y= 75, Z= 304
[2024-03-19 12:52:13] [world] The Player <Dave_TheCoolGuy> has crafted 4 of WOOD at X= -688, Y= 75, Z= 304
[2024-03-19 12:52:14] [world] The Player <Dave_TheCoolGuy> has crafted 4 of WOOD at X= -688, Y= 75, Z= 304
[2024-03-19 12:52:14] [world] The Player <Dave_TheCoolGuy> has crafted 4 of WOOD at X= -688, Y= 75, Z= 304
[2024-03-19 12:52:15] [world] The Player <Dave_TheCoolGuy> has crafted 4 of WOOD at X= -688, Y= 75, Z= 304
[2024-03-19 12:52:16] [world] The Player <Dave_TheCoolGuy> has crafted 4 of WOOD at X= -688, Y= 75, Z= 304
[2024-03-19 12:52:18] [world] The Player <Dave_TheCoolGuy> has crafted 4 of WOOD at X= -688, Y= 75, Z= 304
[2024-03-19 12:52:19] [world] The Player <Dave_TheCoolGuy> has crafted 4 of WOOD at X= -688, Y= 75, Z= 304
[2024-03-19 12:52:24] [world] The Player <Dave_TheCoolGuy> has crafted 4 of WOOD at X= -688, Y= 75, Z= 304
[2024-03-19 12:52:25] [world] The Player <Dave_TheCoolGuy> has crafted 4 of WOOD at X= -688, Y= 75, Z= 304
[2024-03-19 12:53:52] [world] The Player <digbick> has crafted 4 of STICK at X= -688, Y= 75, Z= 305
[2024-03-19 12:54:08] [world] The Player <digbick> has crafted 1 of IRON AXE at X= -688, Y= 75, Z= 305
[2024-03-19 14:00:51] [world] The Player <qwerty> has crafted 1 of SUGAR at X= -494, Y= 72, Z= -501
[2024-03-19 14:01:05] [world] The Player <qwerty> has crafted 1 of FERMENTED SPIDER EYE at X= -496, Y= 72, Z= -501
[2024-03-19 14:03:16] [world] The Player <The_Amazing_Yao> has crafted 4 of STICK at X= 653, Y= 42, Z= 2293
[2024-03-19 14:03:23] [world] The Player <The_Amazing_Yao> has crafted 4 of TORCH at X= 653, Y= 42, Z= 2293
[2024-03-19 14:03:23] [world] The Player <The_Amazing_Yao> has crafted 4 of TORCH at X= 653, Y= 42, Z= 2293
[2024-03-19 14:03:23] [world] The Player <The_Amazing_Yao> has crafted 4 of TORCH at X= 653, Y= 42, Z= 2293
[2024-03-19 14:03:23] [world] The Player <The_Amazing_Yao> has crafted 4 of TORCH at X= 653, Y= 42, Z= 2293
[2024-03-19 14:11:43] [world] The Player <Dave_TheCoolGuy> has crafted 1 of WOOD PICKAXE at X= -689, Y= 75, Z= 304
[2024-03-19 14:19:33] [world] The Player <qwerty> has crafted 4 of SANDSTONE STAIRS at X= -496, Y= 72, Z= -500
[2024-03-19 14:19:33] [world] The Player <qwerty> has crafted 4 of SANDSTONE STAIRS at X= -496, Y= 72, Z= -500
[2024-03-19 14:19:33] [world] The Player <qwerty> has crafted 4 of SANDSTONE STAIRS at X= -496, Y= 72, Z= -500
[2024-03-19 14:19:33] [world] The Player <qwerty> has crafted 4 of SANDSTONE STAIRS at X= -496, Y= 72, Z= -500
[2024-03-19 14:19:34] [world] The Player <qwerty> has crafted 4 of SANDSTONE STAIRS at X= -496, Y= 72, Z= -500
[2024-03-19 14:19:34] [world] The Player <qwerty> has crafted 4 of SANDSTONE STAIRS at X= -496, Y= 72, Z= -500
[2024-03-19 14:19:34] [world] The Player <qwerty> has crafted 4 of SANDSTONE STAIRS at X= -496, Y= 72, Z= -500
[2024-03-19 14:19:34] [world] The Player <qwerty> has crafted 4 of SANDSTONE STAIRS at X= -496, Y= 72, Z= -500
[2024-03-19 14:23:03] [world] The Player <dick_slap> has crafted 4 of WOOD at X= -640, Y= 68, Z= 491
[2024-03-19 14:23:46] [world] The Player <dick_slap> has crafted 1 of WORKBENCH at X= -641, Y= 68, Z= 492
[2024-03-19 14:24:33] [world] The Player <dick_slap> has crafted 4 of WOOD at X= -642, Y= 68, Z= 489
[2024-03-19 14:24:34] [world] The Player <dick_slap> has crafted 4 of WOOD at X= -642, Y= 68, Z= 489
[2024-03-19 14:31:45] [world] The Player <dick_slap> has crafted 4 of STICK at X= -642, Y= 68, Z= 489
[2024-03-19 14:31:52] [world] The Player <dick_slap> has crafted 1 of WOOD PICKAXE at X= -642, Y= 68, Z= 489
[2024-03-19 14:33:49] [world] The Player <Pog4lifepeople> has crafted 9 of COAL at X= -494, Y= 77, Z= -504
[2024-03-19 14:33:50] [world] The Player <dick_slap> has crafted 1 of STONE PICKAXE at X= -642, Y= 60, Z= 500
[2024-03-19 14:34:07] [world] The Player <dick_slap> has crafted 4 of STICK at X= -642, Y= 60, Z= 500
[2024-03-19 14:34:07] [world] The Player <dick_slap> has crafted 4 of STICK at X= -642, Y= 60, Z= 500
[2024-03-19 14:34:08] [world] The Player <dick_slap> has crafted 4 of STICK at X= -642, Y= 60, Z= 500
[2024-03-19 14:34:08] [world] The Player <dick_slap> has crafted 4 of STICK at X= -642, Y= 60, Z= 500
[2024-03-19 14:34:08] [world] The Player <dick_slap> has crafted 4 of STICK at X= -642, Y= 60, Z= 500
[2024-03-19 14:34:08] [world] The Player <dick_slap> has crafted 1 of WOOD BUTTON at X= -642, Y= 60, Z= 500
[2024-03-19 14:34:08] [world] The Player <dick_slap> has crafted 1 of WOOD BUTTON at X= -642, Y= 60, Z= 500
[2024-03-19 14:34:08] [world] The Player <dick_slap> has crafted 1 of WOOD BUTTON at X= -642, Y= 60, Z= 500
[2024-03-19 14:34:09] [world] The Player <dick_slap> has crafted 1 of WOOD BUTTON at X= -642, Y= 60, Z= 500
[2024-03-19 14:34:21] [world] The Player <dick_slap> has crafted 1 of STONE AXE at X= -642, Y= 60, Z= 500
[2024-03-19 14:35:24] [world] The Player <somebody139> has crafted 9 of INK SACK at X= -577, Y= 68, Z= 249
[2024-03-19 14:36:48] [world] The Player <The_Amazing_Yao> has crafted 1 of WORKBENCH at X= 580, Y= 29, Z= 2230
[2024-03-19 14:37:13] [world] The Player <dick_slap> has crafted 1 of FURNACE at X= -676, Y= 73, Z= 559
[2024-03-19 14:37:17] [world] The Player <Rip_WillOfTheD> has crafted 1 of BOW at X= -546, Y= 69, Z= 189
[2024-03-19 14:37:38] [world] The Player <Rip_Dogwater> has crafted 1 of DIAMOND CHESTPLATE at X= -10184, Y= 60, Z= 4119
[2024-03-19 14:37:38] [world] The Player <Pog4lifepeople> has crafted 1 of BREAD at X= -497, Y= 77, Z= -481
[2024-03-19 14:37:38] [world] The Player <Pog4lifepeople> has crafted 1 of BREAD at X= -497, Y= 77, Z= -481
[2024-03-19 14:37:39] [world] The Player <Pog4lifepeople> has crafted 1 of BREAD at X= -497, Y= 77, Z= -481
[2024-03-19 14:37:39] [world] The Player <Pog4lifepeople> has crafted 1 of BREAD at X= -497, Y= 77, Z= -481
[2024-03-19 14:37:39] [world] The Player <Pog4lifepeople> has crafted 1 of BREAD at X= -497, Y= 77, Z= -481
[2024-03-19 14:37:40] [world] The Player <Rip_Dogwater> has crafted 1 of DIAMOND CHESTPLATE at X= -10184, Y= 60, Z= 4119
[2024-03-19 14:38:36] [world] The Player <The_Amazing_Yao> has crafted 4 of STICK at X= 581, Y= 29, Z= 2230
[2024-03-19 14:38:42] [world] The Player <The_Amazing_Yao> has crafted 1 of IRON PICKAXE at X= 581, Y= 29, Z= 2230
[2024-03-19 14:39:19] [world_nether] The Player <Pog4lifepeople> has crafted 4 of STICK at X= -98, Y= 61, Z= 149
