[2024-03-20 20:29:05] [world_the_end] The Player <theproman3387> has crafted 4 of TORCH at X= -54, Y= 38, Z= -15
[2024-03-20 20:29:54] [world] The Player <hexa> has crafted 1 of BOW at X= -2527, Y= 68, Z= 582
[2024-03-20 20:30:08] [world] The Player <Mudkips_Rule> has crafted 1 of BOW at X= -1355, Y= 63, Z= -264
[2024-03-20 20:30:48] [world_the_end] The Player <theproman3387> has crafted 1 of FURNACE at X= -53, Y= 38, Z= -17
[2024-03-20 20:30:57] [world_the_end] The Player <theproman3387> has crafted 1 of FURNACE at X= -53, Y= 38, Z= -17
[2024-03-20 20:32:00] [world_the_end] The Player <theproman3387> has crafted 1 of BREAD at X= -54, Y= 38, Z= -15
[2024-03-20 20:32:01] [world_the_end] The Player <theproman3387> has crafted 1 of BREAD at X= -54, Y= 38, Z= -15
[2024-03-20 20:32:01] [world_the_end] The Player <theproman3387> has crafted 1 of BREAD at X= -54, Y= 38, Z= -15
[2024-03-20 20:33:56] [world] The Player <hexa> has crafted 1 of IRON CHESTPLATE at X= -2537, Y= 64, Z= 558
[2024-03-20 20:34:06] [world] The Player <hexa> has crafted 1 of IRON LEGGINGS at X= -2537, Y= 64, Z= 558
[2024-03-20 20:34:22] [world] The Player <hexa> has crafted 1 of IRON BOOTS at X= -2537, Y= 64, Z= 558
[2024-03-20 20:34:28] [world] The Player <hexa> has crafted 1 of IRON HELMET at X= -2537, Y= 64, Z= 558
[2024-03-20 21:02:37] [world] The Player <NezukoChan> has crafted 1 of DIAMOND CHESTPLATE at X= 1803, Y= 38, Z= 289
[2024-03-20 21:02:42] [world] The Player <NezukoChan> has crafted 1 of DIAMOND LEGGINGS at X= 1803, Y= 38, Z= 289
[2024-03-20 21:02:47] [world] The Player <NezukoChan> has crafted 1 of DIAMOND HELMET at X= 1803, Y= 38, Z= 289
[2024-03-20 21:02:59] [world] The Player <NezukoChan> has crafted 1 of DIAMOND BOOTS at X= 1803, Y= 38, Z= 289
[2024-03-20 21:20:35] [world] The Player <hexa> has crafted 1 of BOW at X= -2528, Y= 68, Z= 581
[2024-03-20 21:20:44] [world] The Player <hexa> has crafted 1 of BOW at X= -2530, Y= 68, Z= 585
[2024-03-20 21:25:29] [world] The Player <astronomy> has crafted 1 of CHEST at X= 1801, Y= 38, Z= 289
[2024-03-20 21:25:44] [world] The Player <hexa> has crafted 4 of WOOD at X= -2537, Y= 64, Z= 559
[2024-03-20 21:25:44] [world] The Player <hexa> has crafted 4 of WOOD at X= -2537, Y= 64, Z= 559
[2024-03-20 21:25:45] [world] The Player <hexa> has crafted 4 of WOOD at X= -2537, Y= 64, Z= 559
[2024-03-20 21:25:53] [world] The Player <hexa> has crafted 4 of STICK at X= -2537, Y= 64, Z= 559
[2024-03-20 21:25:53] [world] The Player <hexa> has crafted 4 of STICK at X= -2537, Y= 64, Z= 559
[2024-03-20 21:25:53] [world] The Player <hexa> has crafted 4 of STICK at X= -2537, Y= 64, Z= 559
[2024-03-20 21:25:53] [world] The Player <hexa> has crafted 4 of STICK at X= -2537, Y= 64, Z= 559
[2024-03-20 21:25:53] [world] The Player <hexa> has crafted 4 of STICK at X= -2537, Y= 64, Z= 559
[2024-03-20 21:25:54] [world] The Player <hexa> has crafted 4 of STICK at X= -2537, Y= 64, Z= 559
[2024-03-20 21:26:00] [world] The Player <hexa> has crafted 3 of LADDER at X= -2537, Y= 64, Z= 559
[2024-03-20 21:26:01] [world] The Player <hexa> has crafted 3 of LADDER at X= -2537, Y= 64, Z= 559
[2024-03-20 21:26:01] [world] The Player <hexa> has crafted 3 of LADDER at X= -2537, Y= 64, Z= 559
[2024-03-20 21:26:11] [world] The Player <hexa> has crafted 1 of BOW at X= -2535, Y= 63, Z= 558
[2024-03-20 21:26:31] [world] The Player <Mudkips_Rule> has crafted 1 of IRON AXE at X= -1355, Y= 63, Z= -264
[2024-03-20 21:28:28] [world] The Player <hexa> has crafted 4 of WOOD at X= -2528, Y= 68, Z= 582
[2024-03-20 21:28:29] [world] The Player <hexa> has crafted 4 of WOOD at X= -2528, Y= 68, Z= 582
