[2024-03-18 11:18:24] [world] The Player <sharky> has picked 1 of SANDSTONE at X= -509, Y= 74, Z= -466 that had [] enchantment(s) |  
[2024-03-18 11:18:26] [world] The Player <sharky> has picked 2 of SANDSTONE at X= -509, Y= 69, Z= -466 that had [] enchantment(s) |  
[2024-03-18 11:19:37] [world] The Player <qwerty> has picked 1 of ARROW at X= -509, Y= 73, Z= -466 that had [] enchantment(s) |  
[2024-03-18 11:20:23] [world] The Player <sharky> has picked 1 of POTION at X= -498, Y= 77, Z= -482 that had [] enchantment(s) |  
[2024-03-18 11:20:28] [world] The Player <BigDickRandy> has picked 1 of OBSIDIAN at X= -769, Y= 10, Z= 341 that had [] enchantment(s) |  
[2024-03-18 11:20:30] [world] The Player <Mudkips_Rule> has picked 1 of POTION at X= -497, Y= 77, Z= -481 that had [] enchantment(s) |  
[2024-03-18 11:20:32] [world] The Player <BigDickRandy> has picked 1 of OBSIDIAN at X= -768, Y= 10, Z= 341 that had [] enchantment(s) |  
[2024-03-18 11:20:35] [world] The Player <BigDickRandy> has picked 1 of OBSIDIAN at X= -768, Y= 10, Z= 341 that had [] enchantment(s) |  
[2024-03-18 11:20:40] [world] The Player <BigDickRandy> has picked 1 of OBSIDIAN at X= -768, Y= 10, Z= 342 that had [] enchantment(s) |  
[2024-03-18 11:20:46] [world] The Player <BigDickRandy> has picked 1 of OBSIDIAN at X= -769, Y= 10, Z= 342 that had [] enchantment(s) |  
[2024-03-18 11:20:52] [world] The Player <BigDickRandy> has picked 1 of OBSIDIAN at X= -770, Y= 10, Z= 342 that had [] enchantment(s) |  
[2024-03-18 11:20:59] [world] The Player <Mudkips_Rule> has picked 4 of DIAMOND at X= -498, Y= 77, Z= -482 that had [] enchantment(s) |  
[2024-03-18 11:21:04] [world] The Player <sharky> has picked 5 of DIAMOND at X= -498, Y= 77, Z= -482 that had [] enchantment(s) |  
[2024-03-18 11:21:07] [world] The Player <Mudkips_Rule> has picked 52 of SANDSTONE at X= -498, Y= 77, Z= -480 that had [] enchantment(s) |  
[2024-03-18 11:21:18] [world] The Player <BigDickRandy> has picked 1 of COBBLESTONE at X= -786, Y= 12, Z= 348 that had [] enchantment(s) |  
[2024-03-18 11:21:38] [world_nether] The Player <Mudkips_Rule> has picked 1 of BLAZE_ROD at X= -145, Y= 70, Z= -91 that had [] enchantment(s) |  
[2024-03-18 11:21:41] [world_nether] The Player <qwerty> has picked 61 of GLOWSTONE_DUST at X= -145, Y= 70, Z= -91 that had [] enchantment(s) |  
[2024-03-18 11:21:43] [world] The Player <BigDickRandy> has picked 2 of WOOD at X= -797, Y= 11, Z= 347 that had [] enchantment(s) |  
