[2024-03-27 12:20:29] [world] The Player <Tester> has broke SUGAR_CANE_BLOCK at X= -10184, Y= 64, Z= 4082
[2024-03-27 12:20:29] [world] The Player <Tester> has broke SUGAR_CANE_BLOCK at X= -10182, Y= 64, Z= 4082
[2024-03-27 12:20:30] [world] The Player <Tester> has broke SUGAR_CANE_BLOCK at X= -10181, Y= 64, Z= 4082
[2024-03-27 12:20:30] [world] The Player <Tester> has broke SUGAR_CANE_BLOCK at X= -10179, Y= 64, Z= 4082
[2024-03-27 12:20:31] [world] The Player <Tester> has broke SUGAR_CANE_BLOCK at X= -10178, Y= 64, Z= 4080
[2024-03-27 12:20:31] [world] The Player <Tester> has broke SUGAR_CANE_BLOCK at X= -10178, Y= 64, Z= 4079
[2024-03-27 12:20:32] [world] The Player <Tester> has broke SUGAR_CANE_BLOCK at X= -10178, Y= 64, Z= 4078
[2024-03-27 12:20:32] [world] The Player <Tester> has broke SUGAR_CANE_BLOCK at X= -10177, Y= 64, Z= 4077
[2024-03-27 12:20:32] [world] The Player <Tester> has broke SUGAR_CANE_BLOCK at X= -10177, Y= 64, Z= 4076
[2024-03-27 12:20:33] [world] The Player <Tester> has broke SUGAR_CANE_BLOCK at X= -10176, Y= 64, Z= 4075
[2024-03-27 12:20:41] [world] The Player <Tester> has broke SUGAR_CANE_BLOCK at X= -10170, Y= 64, Z= 4075
[2024-03-27 12:20:42] [world] The Player <Tester> has broke SUGAR_CANE_BLOCK at X= -10168, Y= 64, Z= 4075
[2024-03-27 12:20:44] [world] The Player <Tester> has broke SUGAR_CANE_BLOCK at X= -10169, Y= 64, Z= 4074
[2024-03-27 12:20:44] [world] The Player <Tester> has broke SUGAR_CANE_BLOCK at X= -10168, Y= 64, Z= 4073
[2024-03-27 12:20:44] [world] The Player <Tester> has broke SUGAR_CANE_BLOCK at X= -10167, Y= 64, Z= 4074
[2024-03-27 12:20:44] [world] The Player <Tester> has broke SUGAR_CANE_BLOCK at X= -10167, Y= 64, Z= 4076
[2024-03-27 12:20:45] [world] The Player <Tester> has broke SUGAR_CANE_BLOCK at X= -10167, Y= 64, Z= 4077
[2024-03-27 12:20:46] [world] The Player <Tester> has broke SUGAR_CANE_BLOCK at X= -10166, Y= 64, Z= 4078
[2024-03-27 12:20:47] [world] The Player <Tester> has broke SUGAR_CANE_BLOCK at X= -10165, Y= 64, Z= 4079
[2024-03-27 12:20:47] [world] The Player <Tester> has broke SUGAR_CANE_BLOCK at X= -10165, Y= 63, Z= 4079
[2024-03-27 12:20:47] [world] The Player <Tester> has broke SUGAR_CANE_BLOCK at X= -10166, Y= 63, Z= 4078
[2024-03-27 12:20:47] [world] The Player <Tester> has broke SUGAR_CANE_BLOCK at X= -10164, Y= 63, Z= 4079
[2024-03-27 12:20:53] [world] The Player <Tester> has broke SUGAR_CANE_BLOCK at X= -10163, Y= 64, Z= 4079
[2024-03-27 12:20:53] [world] The Player <Tester> has broke SUGAR_CANE_BLOCK at X= -10162, Y= 64, Z= 4079
[2024-03-27 12:20:53] [world] The Player <Tester> has broke SUGAR_CANE_BLOCK at X= -10160, Y= 64, Z= 4078
[2024-03-27 12:20:53] [world] The Player <Tester> has broke SUGAR_CANE_BLOCK at X= -10159, Y= 64, Z= 4078
[2024-03-27 12:20:54] [world] The Player <Tester> has broke SUGAR_CANE_BLOCK at X= -10158, Y= 64, Z= 4079
[2024-03-27 12:20:54] [world] The Player <Tester> has broke SUGAR_CANE_BLOCK at X= -10161, Y= 64, Z= 4079
[2024-03-27 12:20:55] [world] The Player <Tester> has broke SUGAR_CANE_BLOCK at X= -10157, Y= 64, Z= 4079
[2024-03-27 12:20:56] [world] The Player <Tester> has broke SUGAR_CANE_BLOCK at X= -10156, Y= 64, Z= 4079
[2024-03-27 12:20:56] [world] The Player <Tester> has broke SUGAR_CANE_BLOCK at X= -10154, Y= 64, Z= 4080
[2024-03-27 12:20:56] [world] The Player <Tester> has broke SUGAR_CANE_BLOCK at X= -10155, Y= 64, Z= 4079
[2024-03-27 12:20:57] [world] The Player <Tester> has broke SUGAR_CANE_BLOCK at X= -10153, Y= 64, Z= 4081
[2024-03-27 12:20:57] [world] The Player <Tester> has broke SUGAR_CANE_BLOCK at X= -10152, Y= 64, Z= 4082
[2024-03-27 12:20:58] [world] The Player <Tester> has broke SUGAR_CANE_BLOCK at X= -10151, Y= 64, Z= 4083
[2024-03-27 12:20:58] [world] The Player <Tester> has broke SUGAR_CANE_BLOCK at X= -10151, Y= 64, Z= 4084
[2024-03-27 12:20:58] [world] The Player <Tester> has broke SUGAR_CANE_BLOCK at X= -10151, Y= 64, Z= 4085
[2024-03-27 12:20:58] [world] The Player <Tester> has broke SUGAR_CANE_BLOCK at X= -10151, Y= 64, Z= 4086
[2024-03-27 12:20:59] [world] The Player <Tester> has broke SUGAR_CANE_BLOCK at X= -10151, Y= 63, Z= 4086
