[2024-03-30 19:33:05] [world] The Player <GolemDaWanderer> has broke LONG_GRASS at X= 10322, Y= 67, Z= -10988
[2024-03-30 19:33:05] [world] The Player <GolemDaWanderer> has broke LONG_GRASS at X= 10322, Y= 67, Z= -10989
[2024-03-30 19:33:06] [world] The Player <GolemDaWanderer> has broke LONG_GRASS at X= 10321, Y= 67, Z= -10992
[2024-03-30 19:35:05] [world] The Player <GolemDaWanderer> has broke LONG_GRASS at X= 10334, Y= 64, Z= -11127
[2024-03-30 19:35:16] [world] The Player <GolemDaWanderer> has broke ANVIL at X= 10341, Y= 64, Z= -11131
[2024-03-31 03:43:37] [world] The Player <GolemDaWanderer> has broke TORCH at X= -10298, Y= 36, Z= 4032
[2024-03-31 09:59:52] [world] The Player <BTC> has broke LEAVES at X= -3276, Y= 73, Z= 928
[2024-03-31 10:00:19] [world] The Player <BTC> has broke SAND at X= -3263, Y= 70, Z= 936
[2024-03-31 10:36:10] [world] The Player <BTC> has broke LONG_GRASS at X= -3076, Y= 64, Z= 917
[2024-03-31 10:36:11] [world] The Player <BTC> has broke LONG_GRASS at X= -3078, Y= 64, Z= 917
[2024-03-31 10:36:25] [world] The Player <BTC> has broke LONG_GRASS at X= -3086, Y= 64, Z= 919
[2024-03-31 10:36:38] [world] The Player <BTC> has broke LONG_GRASS at X= -3109, Y= 68, Z= 889
[2024-03-31 10:36:39] [world] The Player <BTC> has broke LONG_GRASS at X= -3109, Y= 68, Z= 887
[2024-03-31 10:36:52] [world] The Player <BTC> has broke LONG_GRASS at X= -3125, Y= 63, Z= 859
[2024-03-31 10:36:53] [world] The Player <BTC> has broke LONG_GRASS at X= -3126, Y= 63, Z= 859
[2024-03-31 10:36:53] [world] The Player <BTC> has broke LONG_GRASS at X= -3127, Y= 63, Z= 857
[2024-03-31 10:36:53] [world] The Player <BTC> has broke LONG_GRASS at X= -3128, Y= 63, Z= 853
[2024-03-31 10:37:09] [world] The Player <BTC> has broke GRASS at X= -3130, Y= 63, Z= 832
[2024-03-31 10:37:18] [world] The Player <BTC> has broke DIRT at X= -3130, Y= 62, Z= 832
