[2024-03-28 20:19:59] [world] The Player <BTC> has died with 2 level(s) at X= -807, Y= 10, Z= 163 | caused by LAVA | 
[2024-03-28 21:07:43] [world] The Player <Char> has died with 892 level(s) at X= 621, Y= 11, Z= 220 | caused by Player | BTC
[2024-03-28 21:08:23] [world] The Player <BTC> has died with 10 level(s) at X= 621, Y= 10, Z= 209 | caused by Player | Char
[2024-03-28 21:09:59] [world] The Player <Char> has died with 892 level(s) at X= 626, Y= 11, Z= 222 | caused by Player | BTC
[2024-03-28 21:10:14] [world] The Player <Char> has died with 892 level(s) at X= 623, Y= 11, Z= 226 | caused by Player | BTC
[2024-03-28 21:10:24] [world] The Player <BTC> has died with 12 level(s) at X= 627, Y= 11, Z= 225 | caused by Player | Char
[2024-03-28 21:23:41] [world_the_end] The Player <BTC> has died with 12 level(s) at X= -18, Y= 59, Z= 28 | caused by ENTITY_ATTACK | 
[2024-03-28 22:02:11] [world] The Player <BTC> has died with 16 level(s) at X= 1, Y= -182, Z= 1 | caused by VOID | 
[2024-03-28 22:10:11] [world] The Player <BTC> has died with 16 level(s) at X= 1018, Y= 63, Z= 644 | caused by ENTITY_EXPLOSION | 
[2024-03-28 22:12:30] [world_the_end] The Player <BTC> has died with 16 level(s) at X= -14, Y= 62, Z= -30 | caused by ENTITY_ATTACK | 
[2024-03-28 22:22:44] [world] The Player <GolemDaWanderer> has died with 50 level(s) at X= -10176, Y= 62, Z= 4112 | caused by SUFFOCATION | 
[2024-03-28 22:27:50] [world_the_end] The Player <BTC> has died with 17 level(s) at X= -164, Y= -158, Z= 37 | caused by VOID | 
[2024-03-28 22:28:21] [world_the_end] The Player <GolemDaWanderer> has died with 50 level(s) at X= -43, Y= 58, Z= -1 | caused by FALL | 
[2024-03-28 22:28:56] [world_the_end] The Player <BTC> has died with 17 level(s) at X= 54, Y= 62, Z= 25 | caused by ENTITY_ATTACK | 
[2024-03-28 22:29:25] [world] The Player <GolemDaWanderer> has died with 50 level(s) at X= -576, Y= 69, Z= 316 | caused by Player | BTC
[2024-03-28 22:29:34] [world] The Player <GolemDaWanderer> has died with 50 level(s) at X= -572, Y= 68, Z= 316 | caused by Player | BTC
[2024-03-28 22:29:38] [world] The Player <GolemDaWanderer> has died with 50 level(s) at X= -573, Y= 68, Z= 316 | caused by Player | BTC
[2024-03-28 22:29:45] [world] The Player <GolemDaWanderer> has died with 50 level(s) at X= -570, Y= 69, Z= 317 | caused by Player | BTC
[2024-03-28 22:29:50] [world] The Player <GolemDaWanderer> has died with 50 level(s) at X= -574, Y= 69, Z= 317 | caused by Player | BTC
[2024-03-28 22:29:55] [world] The Player <GolemDaWanderer> has died with 50 level(s) at X= -573, Y= 68, Z= 316 | caused by Player | BTC
[2024-03-28 22:30:04] [world] The Player <GolemDaWanderer> has died with 50 level(s) at X= -577, Y= 69, Z= 315 | caused by Player | BTC
[2024-03-28 22:30:32] [world] The Player <BTC> has died with 17 level(s) at X= -611, Y= 68, Z= 352 | caused by Player | GolemDaWanderer
[2024-03-28 22:31:03] [world] The Player <GolemDaWanderer> has died with 50 level(s) at X= -600, Y= 68, Z= 363 | caused by Player | BTC
[2024-03-28 22:40:39] [world] The Player <NezukoChan> has died with 43 level(s) at X= -576, Y= 69, Z= 323 | caused by Player | BTC
[2024-03-28 22:40:49] [world] The Player <NezukoChan> has died with 43 level(s) at X= -578, Y= 69, Z= 316 | caused by Player | BTC
[2024-03-28 22:41:09] [world] The Player <NezukoChan> has died with 43 level(s) at X= -577, Y= 69, Z= 317 | caused by Player | BTC
