[2024-03-19 15:09:52] [world] The Player <WienerDogFace> has died with 18 level(s) at X= -573, Y= 68, Z= 316 | caused by Player | Brycethelegend
[2024-03-19 15:11:24] [world] The Player <WienerDogFace> has died with 18 level(s) at X= 10143, Y= 54, Z= 799 | caused by VOID | 
[2024-03-19 17:53:48] [world] The Player <Heinrich_Himmler> has died with 16 level(s) at X= -641, Y= 10, Z= 416 | caused by SUFFOCATION | 
[2024-03-19 18:42:10] [world_nether] The Player <Heinrich_Himmler> has died with 16 level(s) at X= -28, Y= 31, Z= 41 | caused by FIRE | 
[2024-03-19 18:49:21] [world_the_end] The Player <Heinrich_Himmler> has died with 16 level(s) at X= -113, Y= -201, Z= 32 | caused by VOID | 
[2024-03-19 18:51:26] [world_the_end] The Player <Heinrich_Himmler> has died with 16 level(s) at X= -161, Y= -197, Z= 32 | caused by VOID | 
[2024-03-19 18:56:37] [world_the_end] The Player <Heinrich_Himmler> has died with 16 level(s) at X= -169, Y= 57, Z= 37 | caused by FALL | 
[2024-03-19 18:59:25] [world_the_end] The Player <Heinrich_Himmler> has died with 16 level(s) at X= -162, Y= -66, Z= 47 | caused by VOID | 
[2024-03-19 19:01:10] [world_the_end] The Player <Heinrich_Himmler> has died with 16 level(s) at X= -1, Y= 57, Z= 15 | caused by ENTITY_ATTACK | 
[2024-03-19 19:04:50] [world_the_end] The Player <Heinrich_Himmler> has died with 16 level(s) at X= 5, Y= 59, Z= 10 | caused by VOID | 
[2024-03-19 19:13:13] [world_the_end] The Player <Heinrich_Himmler> has died with 17 level(s) at X= -159, Y= 101, Z= 45 | caused by ENTITY_ATTACK | 
[2024-03-19 19:15:21] [world_the_end] The Player <Heinrich_Himmler> has died with 17 level(s) at X= -163, Y= 101, Z= 34 | caused by ENTITY_ATTACK | 
[2024-03-19 19:17:04] [world_the_end] The Player <Heinrich_Himmler> has died with 17 level(s) at X= 10, Y= 59, Z= -21 | caused by ENTITY_ATTACK | 
[2024-03-19 19:17:46] [world_the_end] The Player <Heinrich_Himmler> has died with 17 level(s) at X= -22, Y= 58, Z= -5 | caused by ENTITY_ATTACK | 
[2024-03-19 19:19:29] [world_the_end] The Player <Heinrich_Himmler> has died with 18 level(s) at X= 69, Y= 49, Z= -15 | caused by FALL | 
[2024-03-19 19:23:28] [world_nether] The Player <Heinrich_Himmler> has died with 19 level(s) at X= -131, Y= 27, Z= 54 | caused by LAVA | 
[2024-03-19 19:23:39] [world_the_end] The Player <Heinrich_Himmler> has died with 19 level(s) at X= 99, Y= -96, Z= 8 | caused by VOID | 
[2024-03-19 19:24:44] [world_nether] The Player <Heinrich_Himmler> has died with 19 level(s) at X= -40, Y= 80, Z= -37 | caused by ENTITY_ATTACK | 
[2024-03-19 19:25:52] [world_nether] The Player <Heinrich_Himmler> has died with 20 level(s) at X= -44, Y= 79, Z= -58 | caused by LAVA | 
[2024-03-19 19:35:44] [world] The Player <Heinrich_Himmler> has died with 20 level(s) at X= 99966, Y= 35, Z= 48 | caused by DROWNING | 
[2024-03-19 19:36:23] [world] The Player <Heinrich_Himmler> has died with 20 level(s) at X= 99969, Y= 61, Z= 51 | caused by DROWNING | 
[2024-03-19 19:38:45] [world] The Player <Heinrich_Himmler> has died with 20 level(s) at X= 99966, Y= 40, Z= 48 | caused by DROWNING | 
[2024-03-19 19:43:34] [world_the_end] The Player <NezukoChan> has died with 24 level(s) at X= 58, Y= 58, Z= 13 | caused by FALL | 
[2024-03-19 19:45:45] [world_the_end] The Player <NezukoChan> has died with 24 level(s) at X= 47, Y= 62, Z= 29 | caused by FALL | 
[2024-03-19 19:45:53] [world_the_end] The Player <NezukoChan> has died with 24 level(s) at X= 46, Y= 63, Z= 24 | caused by Player | Koi
[2024-03-19 19:46:01] [world_the_end] The Player <NezukoChan> has died with 24 level(s) at X= 49, Y= 63, Z= 25 | caused by FALL | 
[2024-03-19 19:46:06] [world_the_end] The Player <NezukoChan> has died with 24 level(s) at X= 48, Y= 63, Z= 24 | caused by FALL | 
[2024-03-19 19:49:01] [world_nether] The Player <NezukoChan> has died with 24 level(s) at X= 12501, Y= 77, Z= -4 | caused by Player | Koi
[2024-03-19 19:53:17] [world_nether] The Player <NezukoChan> has died with 24 level(s) at X= 12466, Y= 84, Z= -2 | caused by Player | Koi
[2024-03-19 19:53:53] [world_nether] The Player <NezukoChan> has died with 24 level(s) at X= 12470, Y= 77, Z= -13 | caused by BLOCK_EXPLOSION | 
[2024-03-19 19:57:01] [world_nether] The Player <NezukoChan> has died with 24 level(s) at X= 12526, Y= 79, Z= -11 | caused by BLOCK_EXPLOSION | 
[2024-03-19 19:58:26] [world] The Player <NezukoChan> has died with 24 level(s) at X= 1, Y= -87, Z= 1 | caused by VOID | 
