[2024-03-18 14:05:06] [world] The Player <somebody139> has died with 0 level(s) at X= -573, Y= 68, Z= 316 | caused by Player | VeerIsKKK
[2024-03-18 14:05:06] [world] The Player <WienerDogFace> has died with 15 level(s) at X= -573, Y= 68, Z= 316 | caused by Player | VeerIsKKK
[2024-03-18 14:05:08] [world] The Player <somebody139> has died with 0 level(s) at X= -573, Y= 68, Z= 316 | caused by Player | VeerIsKKK
[2024-03-18 14:05:12] [world] The Player <somebody139> has died with 0 level(s) at X= -573, Y= 68, Z= 316 | caused by Player | VeerIsKKK
[2024-03-18 14:05:19] [world_the_end] The Player <VeerIsKKK> has died with 26 level(s) at X= 98, Y= 49, Z= 1 | caused by Player | WienerDogFace
[2024-03-18 14:05:37] [world_the_end] The Player <VeerIsKKK> has died with 26 level(s) at X= 106, Y= -365, Z= -8 | caused by VOID | 
[2024-03-18 14:05:38] [world_the_end] The Player <somebody139> has died with 0 level(s) at X= 107, Y= 44, Z= 6 | caused by Player | WienerDogFace
[2024-03-18 14:10:21] [world_nether] The Player <Brycethelegend> has died with 23 level(s) at X= -149, Y= 67, Z= -96 | caused by FIRE_TICK | 
[2024-03-18 14:11:30] [world] The Player <The_Amazing_Yao> has died with 6 level(s) at X= -382, Y= 66, Z= 1017 | caused by FALL | 
[2024-03-18 14:13:11] [world] The Player <sharky> has died with 5 level(s) at X= -484, Y= 71, Z= -484 | caused by Player | WienerDogFace
[2024-03-18 14:13:32] [world] The Player <somebody139> has died with 0 level(s) at X= -489, Y= 72, Z= -484 | caused by Player | WienerDogFace
[2024-03-18 14:13:57] [world] The Player <sharky> has died with 5 level(s) at X= -498, Y= 70, Z= -465 | caused by Player | WienerDogFace
[2024-03-18 14:15:03] [world_the_end] The Player <MonkeyTrainer> has died with 8 level(s) at X= 101, Y= 22, Z= 1 | caused by FALL | 
[2024-03-18 14:15:46] [world_nether] The Player <Brycethelegend> has died with 24 level(s) at X= -135, Y= 67, Z= -101 | caused by PROJECTILE | 
