[2024-03-27 23:35:47] [world] The Player <Char> has died with 892 level(s) at X= 1052, Y= 14, Z= 692 | caused by VOID | 
[2024-03-27 23:35:47] [world] The Player <NezukoChan> has died with 42 level(s) at X= 1057, Y= 18, Z= 697 | caused by VOID | 
[2024-03-27 23:35:47] [world] The Player <GolemDaWanderer> has died with 50 level(s) at X= 1055, Y= 20, Z= 686 | caused by VOID | 
[2024-03-27 23:35:47] [world] The Player <Feathery> has died with 614 level(s) at X= 1060, Y= 19, Z= 684 | caused by VOID | 
[2024-03-27 23:36:12] [world] The Player <Char> has died with 892 level(s) at X= 1061, Y= 19, Z= 697 | caused by Player | GolemDaWanderer
[2024-03-27 23:36:19] [world] The Player <GolemDaWanderer> has died with 50 level(s) at X= 1055, Y= 18, Z= 698 | caused by Player | Feathery
[2024-03-27 23:36:22] [world] The Player <xcpc> has died with 4 level(s) at X= 1059, Y= 19, Z= 699 | caused by Player | Feathery
[2024-03-27 23:36:29] [world] The Player <NezukoChan> has died with 42 level(s) at X= 1052, Y= 5, Z= 715 | caused by Player | Feathery
[2024-03-27 23:37:39] [world] The Player <NezukoChan> has died with 42 level(s) at X= -574, Y= 68, Z= 250 | caused by Player | Char
[2024-03-27 23:37:51] [world] The Player <Tester> has died with 21863 level(s) at X= 1059, Y= 60, Z= 711 | caused by Player | Char
[2024-03-27 23:37:58] [world] The Player <Feathery> has died with 614 level(s) at X= 1064, Y= 21, Z= 667 | caused by Player | Char
[2024-03-27 23:38:19] [world] The Player <GolemDaWanderer> has died with 50 level(s) at X= 1065, Y= 20, Z= 665 | caused by LAVA | 
[2024-03-27 23:38:22] [world] The Player <xcpc> has died with 4 level(s) at X= 1062, Y= 20, Z= 668 | caused by ENTITY_ATTACK | 
[2024-03-27 23:38:23] [world] The Player <Tester> has died with 21863 level(s) at X= 1061, Y= 20, Z= 669 | caused by ENTITY_ATTACK | 
[2024-03-27 23:42:08] [world] The Player <GolemDaWanderer> has died with 50 level(s) at X= -542, Y= 67, Z= 90 | caused by FALL | 
[2024-03-27 23:44:32] [world_the_end] The Player <GolemDaWanderer> has died with 50 level(s) at X= 0, Y= 67, Z= 15 | caused by Player | NezukoChan
[2024-03-27 23:45:46] [world_the_end] The Player <NezukoChan> has died with 42 level(s) at X= -14, Y= 59, Z= 26 | caused by Player | Feathery
[2024-03-27 23:47:48] [world] The Player <GolemDaWanderer> has died with 50 level(s) at X= -548, Y= 63, Z= 365 | caused by ENTITY_ATTACK | 
[2024-03-27 23:49:08] [world_the_end] The Player <NezukoChan> has died with 42 level(s) at X= 44, Y= 1, Z= 138 | caused by FALL | 
[2024-03-27 23:49:27] [world_the_end] The Player <NezukoChan> has died with 42 level(s) at X= 42, Y= -181, Z= 153 | caused by VOID | 
[2024-03-27 23:50:46] [world_the_end] The Player <NezukoChan> has died with 42 level(s) at X= 15, Y= 59, Z= 12 | caused by ENTITY_ATTACK | 
[2024-03-27 23:51:42] [world] The Player <Heinrich_Himmler> has died with 62 level(s) at X= -682, Y= 63, Z= 34 | caused by FALL | 
[2024-03-27 23:51:59] [world_the_end] The Player <NezukoChan> has died with 42 level(s) at X= 14, Y= 39, Z= 81 | caused by FALL | 
[2024-03-27 23:52:43] [world_the_end] The Player <NezukoChan> has died with 42 level(s) at X= 13, Y= -191, Z= 106 | caused by VOID | 
[2024-03-27 23:53:40] [world_the_end] The Player <NezukoChan> has died with 42 level(s) at X= 14, Y= -65, Z= 113 | caused by VOID | 
[2024-03-27 23:53:53] [world_the_end] The Player <NezukoChan> has died with 42 level(s) at X= 18, Y= -194, Z= 105 | caused by VOID | 
[2024-03-27 23:54:50] [world_the_end] The Player <NezukoChan> has died with 42 level(s) at X= 13, Y= 40, Z= 108 | caused by Player | Feathery
[2024-03-27 23:57:04] [world_the_end] The Player <NezukoChan> has died with 42 level(s) at X= 29, Y= 59, Z= 71 | caused by Player | Feathery
[2024-03-27 23:57:26] [world] The Player <NezukoChan> has died with 42 level(s) at X= -573, Y= 68, Z= 316 | caused by Player | Heinrich_Himmler
[2024-03-27 23:57:46] [world] The Player <NezukoChan> has died with 42 level(s) at X= -571, Y= 69, Z= 320 | caused by Player | Heinrich_Himmler
[2024-03-28 00:00:58] [world_the_end] The Player <NezukoChan> has died with 42 level(s) at X= 39, Y= -93, Z= -36 | caused by VOID | 
[2024-03-28 00:01:10] [world] The Player <NezukoChan> has died with 42 level(s) at X= -573, Y= 68, Z= 316 | caused by Player | Heinrich_Himmler
[2024-03-28 00:01:23] [world] The Player <NezukoChan> has died with 42 level(s) at X= -576, Y= 69, Z= 321 | caused by Player | Heinrich_Himmler
[2024-03-28 00:01:40] [world] The Player <Heinrich_Himmler> has died with 62 level(s) at X= -581, Y= 67, Z= 295 | caused by Player | Feathery
[2024-03-28 00:01:44] [world] The Player <Heinrich_Himmler> has died with 62 level(s) at X= -573, Y= 68, Z= 315 | caused by Player | Tester
[2024-03-28 00:01:45] [world] The Player <NezukoChan> has died with 42 level(s) at X= -572, Y= 68, Z= 317 | caused by Player | Tester
[2024-03-28 00:02:06] [world_the_end] The Player <NezukoChan> has died with 42 level(s) at X= 100, Y= 49, Z= 0 | caused by Player | Heinrich_Himmler
[2024-03-28 00:02:12] [world_the_end] The Player <Heinrich_Himmler> has died with 62 level(s) at X= 94, Y= 54, Z= -2 | caused by Player | Tester
[2024-03-28 00:02:12] [world_the_end] The Player <NezukoChan> has died with 42 level(s) at X= 100, Y= 50, Z= 0 | caused by Player | Tester
[2024-03-28 00:02:24] [world_the_end] The Player <NezukoChan> has died with 42 level(s) at X= 100, Y= 49, Z= -1 | caused by Player | Heinrich_Himmler
[2024-03-28 00:02:26] [world_the_end] The Player <Heinrich_Himmler> has died with 62 level(s) at X= 94, Y= 53, Z= 0 | caused by Player | Tester
[2024-03-28 00:02:31] [world] The Player <Heinrich_Himmler> has died with 62 level(s) at X= -572, Y= 69, Z= 318 | caused by Player | NezukoChan
[2024-03-28 00:02:34] [world] The Player <NezukoChan> has died with 42 level(s) at X= -573, Y= 68, Z= 317 | caused by Player | Heinrich_Himmler
[2024-03-28 00:02:38] [world] The Player <Heinrich_Himmler> has died with 62 level(s) at X= -571, Y= 69, Z= 318 | caused by Player | NezukoChan
[2024-03-28 00:03:37] [world_the_end] The Player <Heinrich_Himmler> has died with 62 level(s) at X= 90, Y= 29, Z= 5 | caused by FALL | 
[2024-03-28 00:04:09] [world] The Player <NezukoChan> has died with 42 level(s) at X= 1061, Y= 18, Z= 696 | caused by ENTITY_ATTACK | 
[2024-03-28 00:04:56] [world_the_end] The Player <Heinrich_Himmler> has died with 62 level(s) at X= -2, Y= 63, Z= 15 | caused by Player | Tester
[2024-03-28 00:05:14] [world_the_end] The Player <Heinrich_Himmler> has died with 62 level(s) at X= 93, Y= -89, Z= -9 | caused by VOID | 
[2024-03-28 00:05:48] [world_the_end] The Player <NezukoChan> has died with 42 level(s) at X= -22, Y= -190, Z= -84 | caused by VOID | 
[2024-03-28 00:06:21] [world_the_end] The Player <Heinrich_Himmler> has died with 62 level(s) at X= 91, Y= 22, Z= 8 | caused by FALL | 
[2024-03-28 00:06:35] [world_the_end] The Player <Heinrich_Himmler> has died with 62 level(s) at X= 103, Y= 17, Z= 6 | caused by FALL | 
[2024-03-28 00:06:47] [world_the_end] The Player <Heinrich_Himmler> has died with 62 level(s) at X= 102, Y= 17, Z= 5 | caused by FALL | 
