[2024-03-22 01:27:38] [world_the_end] The Player <Heinrich_Himmler> has died with 23 level(s) at X= -33, Y= 59, Z= -7 | caused by ENTITY_ATTACK | 
[2024-03-22 01:55:31] [world] The Player <Tester> has died with 10 level(s) at X= -10175, Y= 64, Z= 4123 | caused by VOID | 
[2024-03-22 02:17:19] [world_the_end] The Player <Heinrich_Himmler> has died with 23 level(s) at X= -17, Y= -122, Z= -51 | caused by VOID | 
[2024-03-22 02:22:12] [world_the_end] The Player <Heinrich_Himmler> has died with 23 level(s) at X= -59, Y= -119, Z= -30 | caused by VOID | 
[2024-03-22 02:23:09] [world_the_end] The Player <Tester> has died with 11 level(s) at X= -57, Y= -192, Z= -30 | caused by VOID | 
[2024-03-22 02:26:59] [world_the_end] The Player <Heinrich_Himmler> has died with 23 level(s) at X= 40, Y= -179, Z= 110 | caused by VOID | 
[2024-03-22 02:32:48] [world_nether] The Player <Tester> has died with 11 level(s) at X= 12494, Y= 70, Z= 13 | caused by LAVA | 
[2024-03-22 02:41:35] [world_nether] The Player <Heinrich_Himmler> has died with 23 level(s) at X= 12505, Y= 128, Z= 1 | caused by VOID | 
[2024-03-22 03:16:32] [world_the_end] The Player <Heinrich_Himmler> has died with 23 level(s) at X= -168, Y= 103, Z= 38 | caused by FALL | 
[2024-03-22 03:17:11] [world_the_end] The Player <Heinrich_Himmler> has died with 23 level(s) at X= -168, Y= 103, Z= 38 | caused by FALL | 
[2024-03-22 03:18:55] [world_the_end] The Player <Heinrich_Himmler> has died with 23 level(s) at X= -168, Y= 103, Z= 38 | caused by FALL | 
[2024-03-22 03:20:02] [world_the_end] The Player <Heinrich_Himmler> has died with 23 level(s) at X= -169, Y= 57, Z= 37 | caused by FALL | 
[2024-03-22 03:22:17] [world_the_end] The Player <Heinrich_Himmler> has died with 23 level(s) at X= -155, Y= -125, Z= 39 | caused by VOID | 
[2024-03-22 03:22:50] [world_the_end] The Player <Heinrich_Himmler> has died with 23 level(s) at X= -158, Y= -195, Z= 37 | caused by VOID | 
[2024-03-22 03:29:01] [world_the_end] The Player <Heinrich_Himmler> has died with 23 level(s) at X= -167, Y= 60, Z= 44 | caused by FALL | 
[2024-03-22 03:58:32] [world_the_end] The Player <Heinrich_Himmler> has died with 23 level(s) at X= -169, Y= 57, Z= 37 | caused by FALL | 
[2024-03-22 04:11:36] [world_the_end] The Player <Heinrich_Himmler> has died with 23 level(s) at X= -169, Y= 99, Z= 37 | caused by ENTITY_ATTACK | 
[2024-03-22 04:12:48] [world_the_end] The Player <Heinrich_Himmler> has died with 23 level(s) at X= -167, Y= 60, Z= 44 | caused by FALL | 
[2024-03-22 04:26:11] [world_the_end] The Player <Heinrich_Himmler> has died with 23 level(s) at X= -169, Y= 99, Z= 33 | caused by ENTITY_ATTACK | 
[2024-03-22 04:29:04] [world_the_end] The Player <Heinrich_Himmler> has died with 23 level(s) at X= -171, Y= 60, Z= 38 | caused by FALL | 
[2024-03-22 04:35:08] [world_the_end] The Player <Heinrich_Himmler> has died with 23 level(s) at X= -164, Y= 99, Z= 38 | caused by ENTITY_ATTACK | 
[2024-03-22 04:35:36] [world_the_end] The Player <Heinrich_Himmler> has died with 23 level(s) at X= -168, Y= 57, Z= 38 | caused by FALL | 
[2024-03-22 04:40:45] [world_the_end] The Player <Heinrich_Himmler> has died with 24 level(s) at X= -166, Y= 99, Z= 38 | caused by ENTITY_ATTACK | 
[2024-03-22 04:41:43] [world_the_end] The Player <Heinrich_Himmler> has died with 24 level(s) at X= -168, Y= 99, Z= 41 | caused by ENTITY_ATTACK | 
[2024-03-22 04:46:45] [world_the_end] The Player <Heinrich_Himmler> has died with 24 level(s) at X= -168, Y= 57, Z= 39 | caused by FALL | 
[2024-03-22 05:23:59] [world] The Player <astronomy> has died with 9 level(s) at X= 1806, Y= 36, Z= 289 | caused by DROWNING | 
[2024-03-22 05:57:19] [world] The Player <astronomy> has died with 15 level(s) at X= -9717, Y= 24, Z= 4264 | caused by FIRE_TICK | 
[2024-03-22 11:22:34] [world] The Player <qwerty> has died with 10 level(s) at X= -666, Y= 97, Z= -786 | caused by FIRE_TICK | 
[2024-03-22 12:16:38] [world_nether] The Player <hexa> has died with 26 level(s) at X= -130, Y= 67, Z= -86 | caused by PROJECTILE | 
[2024-03-22 12:30:58] [world] The Player <hexa> has died with 27 level(s) at X= 1000063, Y= 59, Z= 1000010 | caused by DROWNING | 
[2024-03-22 12:34:26] [world] The Player <hexa> has died with 27 level(s) at X= 1000047, Y= 69, Z= 1000008 | caused by VOID | 
[2024-03-22 12:35:16] [world] The Player <Tester> has died with 21 level(s) at X= 1000064, Y= 63, Z= 1000007 | caused by Player | hexa
[2024-03-22 12:35:23] [world] The Player <Tester> has died with 21 level(s) at X= 1000065, Y= 63, Z= 1000008 | caused by Player | hexa
[2024-03-22 12:45:52] [world] The Player <Tester> has died with 19 level(s) at X= 1000205, Y= 8, Z= 999996 | caused by LAVA | 
[2024-03-22 13:15:45] [world_the_end] The Player <Tester> has died with 22 level(s) at X= 0, Y= -117, Z= 1 | caused by VOID | 
[2024-03-22 13:15:54] [world_the_end] The Player <Tester> has died with 22 level(s) at X= 1, Y= -183, Z= 1 | caused by VOID | 
[2024-03-22 13:19:23] [world] The Player <Tester> has died with 22 level(s) at X= 1000091, Y= 64, Z= 999998 | caused by FALL | 
[2024-03-22 13:21:56] [world] The Player <Tester> has died with 22 level(s) at X= -557, Y= 59, Z= 297 | caused by FALL | 
[2024-03-22 13:22:52] [world_nether] The Player <hexa> has died with 26 level(s) at X= -132, Y= 67, Z= -84 | caused by FIRE_TICK | 
[2024-03-22 13:30:27] [world_nether] The Player <hexa> has died with 29 level(s) at X= -146, Y= 68, Z= -93 | caused by FIRE_TICK | 
[2024-03-22 13:39:03] [world] The Player <hexa> has died with 31 level(s) at X= 1000064, Y= 63, Z= 1000009 | caused by VOID | 
[2024-03-22 13:40:54] [world] The Player <hexa> has died with 22 level(s) at X= -621, Y= 68, Z= 289 | caused by FALL | 
[2024-03-22 13:41:57] [world] The Player <Tester> has died with 24 level(s) at X= 50360, Y= 13, Z= 58291 | caused by LAVA | 
[2024-03-22 13:42:13] [world] The Player <Tester> has died with 24 level(s) at X= 1000062, Y= 58, Z= 1000007 | caused by Player | hexa
[2024-03-22 13:58:03] [world] The Player <Autistic_Man> has died with 0 level(s) at X= -1541, Y= 50, Z= -117 | caused by FIRE_TICK | 
[2024-03-22 13:58:58] [world_the_end] The Player <Heinrich_Himmler> has died with 24 level(s) at X= -168, Y= 99, Z= 40 | caused by ENTITY_ATTACK | 
[2024-03-22 14:00:25] [world] The Player <Tester> has died with 27 level(s) at X= -533, Y= 70, Z= 261 | caused by FALL | 
[2024-03-22 14:02:35] [world] The Player <digbick> has died with 20 level(s) at X= -683, Y= 71, Z= 320 | caused by Player | NezukoChan
[2024-03-22 14:02:57] [world] The Player <NezukoChan> has died with 18 level(s) at X= -676, Y= 72, Z= 316 | caused by Player | digbick
[2024-03-22 14:03:03] [world_the_end] The Player <Heinrich_Himmler> has died with 24 level(s) at X= -167, Y= 57, Z= 39 | caused by FALL | 
[2024-03-22 14:03:05] [world] The Player <Autistic_Man> has died with 0 level(s) at X= -1542, Y= 58, Z= -117 | caused by Player | A_Random_Person
[2024-03-22 14:03:15] [world] The Player <digbick> has died with 20 level(s) at X= -690, Y= 71, Z= 305 | caused by Player | NezukoChan
[2024-03-22 14:03:43] [world_the_end] The Player <Heinrich_Himmler> has died with 24 level(s) at X= -167, Y= 101, Z= 33 | caused by ENTITY_ATTACK | 
[2024-03-22 14:03:47] [world] The Player <digbick> has died with 20 level(s) at X= -664, Y= 71, Z= 311 | caused by Player | NezukoChan
[2024-03-22 14:04:10] [world_the_end] The Player <Heinrich_Himmler> has died with 24 level(s) at X= -168, Y= 57, Z= 38 | caused by FALL | 
[2024-03-22 14:04:24] [world] The Player <NezukoChan> has died with 18 level(s) at X= -659, Y= 71, Z= 321 | caused by FALL | 
[2024-03-22 14:04:59] [world] The Player <NezukoChan> has died with 18 level(s) at X= -676, Y= 72, Z= 311 | caused by Player | hexa
[2024-03-22 14:05:17] [world] The Player <digbick> has died with 20 level(s) at X= -685, Y= 71, Z= 315 | caused by Player | hexa
[2024-03-22 14:06:30] [world_the_end] The Player <Heinrich_Himmler> has died with 24 level(s) at X= -172, Y= 99, Z= 46 | caused by ENTITY_ATTACK | 
[2024-03-22 14:06:32] [world] The Player <digbick> has died with 20 level(s) at X= -681, Y= 71, Z= 334 | caused by Player | hexa
[2024-03-22 14:06:54] [world_the_end] The Player <Heinrich_Himmler> has died with 24 level(s) at X= -167, Y= 57, Z= 37 | caused by FALL | 
[2024-03-22 14:07:10] [world] The Player <digbick> has died with 20 level(s) at X= -683, Y= 69, Z= 363 | caused by Player | hexa
[2024-03-22 14:07:23] [world_the_end] The Player <Heinrich_Himmler> has died with 24 level(s) at X= -167, Y= 60, Z= 44 | caused by FALL | 
[2024-03-22 14:07:39] [world_the_end] The Player <Tester> has died with 27 level(s) at X= -164, Y= 99, Z= 30 | caused by ENTITY_ATTACK | 
[2024-03-22 14:08:34] [world_the_end] The Player <Heinrich_Himmler> has died with 24 level(s) at X= -166, Y= 99, Z= 37 | caused by ENTITY_ATTACK | 
[2024-03-22 14:08:48] [world] The Player <digbick> has died with 20 level(s) at X= -689, Y= 71, Z= 314 | caused by Player | hexa
[2024-03-22 14:09:15] [world] The Player <digbick> has died with 20 level(s) at X= -679, Y= 71, Z= 312 | caused by Player | hexa
[2024-03-22 14:10:13] [world_nether] The Player <MrBlob2U> has died with 27 level(s) at X= -69, Y= 23, Z= 5 | caused by LAVA | 
[2024-03-22 14:11:49] [world_the_end] The Player <MrBlob2U> has died with 27 level(s) at X= -175, Y= 99, Z= 39 | caused by ENTITY_ATTACK | 
[2024-03-22 14:12:43] [world] The Player <proman50> has died with 13 level(s) at X= -608, Y= 31, Z= 212 | caused by Player | MrBlob2U
[2024-03-22 14:14:40] [world_nether] The Player <Pog4lifepeople> has died with 20 level(s) at X= -433, Y= 57, Z= -8 | caused by FALL | 
[2024-03-22 14:15:11] [world] The Player <stealthassasin32> has died with 0 level(s) at X= -599, Y= 68, Z= 328 | caused by Player | hexa
[2024-03-22 14:16:12] [world] The Player <stealthassasin32> has died with 0 level(s) at X= -627, Y= 69, Z= 370 | caused by FIRE_TICK | 
[2024-03-22 14:17:17] [world_the_end] The Player <MrBlob2U> has died with 27 level(s) at X= -163, Y= 99, Z= 37 | caused by VOID | 
[2024-03-22 14:19:59] [world] The Player <character> has died with 19 level(s) at X= -365, Y= 85, Z= -44 | caused by FALL | 
[2024-03-22 14:20:46] [world] The Player <stealthassasin32> has died with 0 level(s) at X= -797, Y= 73, Z= -48 | caused by ENTITY_ATTACK | 
[2024-03-22 14:23:38] [world] The Player <proman50> has died with 14 level(s) at X= -375, Y= 88, Z= -56 | caused by Player | character
[2024-03-22 14:27:15] [world] The Player <stealthassasin32> has died with 2 level(s) at X= -820, Y= 67, Z= -745 | caused by FALL | 
[2024-03-22 14:27:16] [world] The Player <digbick> has died with 21 level(s) at X= -765, Y= 8, Z= 442 | caused by LAVA | 
[2024-03-22 14:27:55] [world] The Player <digbick> has died with 21 level(s) at X= -765, Y= 10, Z= 437 | caused by FIRE_TICK | 
[2024-03-22 14:30:00] [world_nether] The Player <MrBlob2U> has died with 28 level(s) at X= -36, Y= 36, Z= 16 | caused by FALL | 
[2024-03-22 14:31:27] [world_the_end] The Player <MrBlob2U> has died with 28 level(s) at X= -167, Y= 57, Z= 38 | caused by FALL | 
