[2024-03-20 00:40:08] [world] The Player <TurtleDuck> has emptied LAVA BUCKET at X= -557, Y= 62, Z= 295
[2024-03-20 00:40:11] [world] The Player <TurtleDuck> has emptied LAVA BUCKET at X= -560, Y= 61, Z= 298
[2024-03-20 00:40:11] [world] The Player <TurtleDuck> has emptied LAVA BUCKET at X= -559, Y= 59, Z= 298
[2024-03-20 00:40:18] [world] The Player <TurtleDuck> has emptied LAVA BUCKET at X= -551, Y= 64, Z= 289
[2024-03-20 00:40:24] [world] The Player <TurtleDuck> has emptied LAVA BUCKET at X= -552, Y= 64, Z= 286
[2024-03-20 00:40:32] [world] The Player <TurtleDuck> has emptied LAVA BUCKET at X= -549, Y= 64, Z= 287
[2024-03-20 00:40:47] [world] The Player <TurtleDuck> has emptied LAVA BUCKET at X= -544, Y= 64, Z= 295
[2024-03-20 00:40:55] [world] The Player <TurtleDuck> has emptied LAVA BUCKET at X= -544, Y= 64, Z= 282
[2024-03-20 00:41:11] [world] The Player <TurtleDuck> has emptied LAVA BUCKET at X= -543, Y= 65, Z= 277
[2024-03-20 00:41:11] [world] The Player <TurtleDuck> has emptied LAVA BUCKET at X= -544, Y= 65, Z= 276
[2024-03-20 00:41:13] [world] The Player <TurtleDuck> has emptied LAVA BUCKET at X= -545, Y= 65, Z= 272
[2024-03-20 00:41:14] [world] The Player <TurtleDuck> has emptied LAVA BUCKET at X= -543, Y= 65, Z= 274
[2024-03-20 00:41:58] [world] The Player <TurtleDuck> has emptied LAVA BUCKET at X= -546, Y= 64, Z= 295
[2024-03-20 00:41:58] [world] The Player <TurtleDuck> has emptied LAVA BUCKET at X= -546, Y= 64, Z= 295
[2024-03-20 00:42:17] [world] The Player <TurtleDuck> has emptied LAVA BUCKET at X= -545, Y= 64, Z= 302
[2024-03-20 00:42:25] [world] The Player <TurtleDuck> has emptied LAVA BUCKET at X= -542, Y= 64, Z= 301
[2024-03-20 00:42:26] [world] The Player <TurtleDuck> has emptied LAVA BUCKET at X= -543, Y= 64, Z= 301
[2024-03-20 01:04:30] [world] The Player <astronomy> has emptied LAVA BUCKET at X= 1800, Y= 62, Z= 288
[2024-03-20 01:04:57] [world] The Player <astronomy> has emptied LAVA BUCKET at X= 1800, Y= 62, Z= 290
[2024-03-20 01:05:00] [world] The Player <astronomy> has emptied LAVA BUCKET at X= 1800, Y= 62, Z= 288
[2024-03-20 01:05:25] [world] The Player <astronomy> has emptied LAVA BUCKET at X= 1800, Y= 62, Z= 291
[2024-03-20 01:06:24] [world] The Player <astronomy> has emptied LAVA BUCKET at X= 1800, Y= 62, Z= 292
[2024-03-20 01:06:58] [world] The Player <astronomy> has emptied LAVA BUCKET at X= 1800, Y= 62, Z= 292
[2024-03-20 01:07:27] [world] The Player <NezukoChan> has emptied WATER BUCKET at X= 1800, Y= 62, Z= 291
[2024-03-20 01:07:59] [world] The Player <NezukoChan> has emptied WATER BUCKET at X= 1800, Y= 61, Z= 292
[2024-03-20 01:16:58] [world] The Player <NezukoChan> has emptied WATER BUCKET at X= -590, Y= 65, Z= 372
[2024-03-20 01:17:24] [world] The Player <NezukoChan> has emptied WATER BUCKET at X= -681, Y= 65, Z= 433
[2024-03-20 02:19:15] [world] The Player <astronomy> has emptied LAVA BUCKET at X= 1805, Y= 38, Z= 289
[2024-03-20 02:19:17] [world] The Player <astronomy> has emptied LAVA BUCKET at X= 1805, Y= 38, Z= 289
[2024-03-20 11:27:01] [world] The Player <sharky> has emptied LAVA BUCKET at X= -245, Y= 29, Z= -542
[2024-03-20 12:04:26] [world] The Player <Tester> has emptied WATER BUCKET at X= -2717, Y= 61, Z= 774
[2024-03-20 12:07:00] [world] The Player <Tester> has emptied LAVA BUCKET at X= -2717, Y= 68, Z= 769
[2024-03-20 12:07:02] [world] The Player <Tester> has emptied LAVA BUCKET at X= -2717, Y= 68, Z= 769
[2024-03-20 12:07:04] [world] The Player <Tester> has emptied LAVA BUCKET at X= -2716, Y= 68, Z= 768
[2024-03-20 12:07:07] [world] The Player <Tester> has emptied LAVA BUCKET at X= -2710, Y= 68, Z= 762
[2024-03-20 12:14:23] [world] The Player <Tester> has emptied LAVA BUCKET at X= -2810, Y= 24, Z= 620
[2024-03-20 12:14:26] [world] The Player <Tester> has emptied WATER BUCKET at X= -2810, Y= 24, Z= 620
[2024-03-20 12:15:02] [world] The Player <Tester> has emptied WATER BUCKET at X= -2829, Y= 11, Z= 628
[2024-03-20 12:17:17] [world] The Player <Tester> has emptied WATER BUCKET at X= -2822, Y= 12, Z= 619
[2024-03-20 12:17:19] [world] The Player <Tester> has emptied WATER BUCKET at X= -2822, Y= 11, Z= 621
[2024-03-20 12:17:20] [world] The Player <Tester> has emptied WATER BUCKET at X= -2822, Y= 11, Z= 621
[2024-03-20 12:17:22] [world] The Player <Tester> has emptied WATER BUCKET at X= -2822, Y= 11, Z= 621
[2024-03-20 12:17:23] [world] The Player <Tester> has emptied WATER BUCKET at X= -2821, Y= 11, Z= 620
[2024-03-20 12:17:30] [world] The Player <Tester> has emptied WATER BUCKET at X= -2820, Y= 11, Z= 619
[2024-03-20 12:17:51] [world] The Player <Tester> has emptied WATER BUCKET at X= -2809, Y= 12, Z= 608
[2024-03-20 12:17:52] [world] The Player <Tester> has emptied WATER BUCKET at X= -2809, Y= 12, Z= 608
[2024-03-20 12:17:53] [world] The Player <Tester> has emptied WATER BUCKET at X= -2809, Y= 12, Z= 608
[2024-03-20 12:21:03] [world] The Player <Tester> has emptied WATER BUCKET at X= -2807, Y= 10, Z= 624
[2024-03-20 12:21:26] [world] The Player <Tester> has emptied WATER BUCKET at X= -2807, Y= 10, Z= 624
[2024-03-20 12:21:29] [world] The Player <Tester> has emptied WATER BUCKET at X= -2807, Y= 11, Z= 624
[2024-03-20 12:21:30] [world] The Player <Tester> has emptied WATER BUCKET at X= -2807, Y= 11, Z= 623
[2024-03-20 12:21:32] [world] The Player <Tester> has emptied WATER BUCKET at X= -2807, Y= 11, Z= 624
[2024-03-20 12:21:34] [world] The Player <Tester> has emptied WATER BUCKET at X= -2807, Y= 11, Z= 624
[2024-03-20 12:22:34] [world] The Player <Tester> has emptied WATER BUCKET at X= -2788, Y= 11, Z= 628
[2024-03-20 12:22:37] [world] The Player <Tester> has emptied WATER BUCKET at X= -2789, Y= 11, Z= 629
[2024-03-20 12:22:58] [world] The Player <Tester> has emptied WATER BUCKET at X= -2792, Y= 11, Z= 634
[2024-03-20 12:23:01] [world] The Player <Tester> has emptied WATER BUCKET at X= -2796, Y= 11, Z= 635
[2024-03-20 12:23:25] [world] The Player <Tester> has emptied WATER BUCKET at X= -2806, Y= 11, Z= 636
